timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.4846728,mouse_click,up,*2845,*1368,Button.left
1788191373.7690845,mouse_move,,*2852,*1375,
1788191373.7838202,mouse_move,,*2861,*1379,
1788191373.8056867,mouse_move,,*2870,*1380,
1788191373.8235846,mouse_move,,*2879,*1378,
1788191373.8416297,mouse_move,,*2888,*1373,
1788191373.8717837,mouse_move,,*2895,*1367,
1788191373.9079912,mouse_move,,*2901,*1360,
1788191373.9251933,mouse_move,,*2905,*1352,
1788191373.946644,mouse_move,,*2907,*1343,
1788191373.972926,mouse_move,,*2909,*1333,
1788191373.9877381,mouse_move,,*2909,*1324,
1788191374.0057774,mouse_move,,*2908,*1315,
1788191374.0284526,mouse_move,,*2905,*1306,
1788191374.0422373,mouse_move,,*2903,*1297,
1788191374.0588686,mouse_move,,*2898,*1289,
1788191374.0803375,mouse_move,,*2894,*1282,
1788191374.0967278,mouse_move,,*2888,*1276,
1788191374.1142337,mouse_move,,*2883,*1269,
1788191374.1314569,mouse_move,,*2877,*1264,
1788191374.1434395,mouse_move,,*2871,*1259,
1788191374.1575713,mouse_move,,*2865,*1254,
1788191374.170688,mouse_move,,*2857,*1249,
1788191374.1943762,mouse_move,,*2850,*1245,
1788191374.2367215,mouse_move,,*2844,*1240,
1788191374.259525,mouse_move,,*2837,*1235,
1788191374.278976,mouse_move,,*2832,*1229,
1788191374.2961607,mouse_move,,*2828,*1223,
1788191374.3120158,mouse_move,,*2824,*1217,
1788191374.3500788,mouse_move,,*2820,*1212,
1788191374.3692203,mouse_move,,*2816,*1207,
1788191374.3944056,mouse_move,,*2811,*1202,
1788191374.429925,mouse_move,,*2806,*1198,
1788191374.4491181,mouse_move,,*2802,*1193,
1788191374.4743407,mouse_move,,*2797,*1189,
1788191374.5180051,mouse_move,,*2792,*1186,
1788191374.5354526,mouse_move,,*2786,*1182,
1788191374.5624666,mouse_move,,*2781,*1179,
1788191374.5869715,mouse_move,,*2775,*1176,
1788191374.6129837,mouse_move,,*2770,*1173,
1788191374.6344824,mouse_move,,*2764,*1170,
1788191374.658104,mouse_move,,*2758,*1167,
1788191374.6761565,mouse_move,,*2752,*1165,
1788191374.7032404,mouse_move,,*2746,*1162,
1788191374.7305143,mouse_move,,*2740,*1159,
