timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.3388543,mouse_click,up,*2894,*1476,Button.left
1788191374.5034995,mouse_move,,*2893,*1470,
1788191374.515704,mouse_move,,*2889,*1466,
1788191374.5276296,mouse_move,,*2884,*1467,
1788191374.5371811,mouse_move,,*2880,*1469,
1788191374.5526428,mouse_move,,*2878,*1473,
1788191374.5650892,mouse_move,,*2878,*1477,
1788191374.5735946,mouse_move,,*2879,*1483,
1788191374.5827649,mouse_move,,*2883,*1487,
1788191374.5918345,mouse_move,,*2886,*1490,
1788191374.604959,mouse_move,,*2891,*1492,
1788191374.613144,mouse_move,,*2896,*1492,
1788191374.6255097,mouse_move,,*2900,*1492,
1788191374.637063,mouse_move,,*2904,*1491,
1788191374.6478279,mouse_move,,*2906,*1487,
1788191374.6571722,mouse_move,,*2908,*1484,
1788191374.6768172,mouse_move,,*2910,*1480,
1788191374.6889746,mouse_move,,*2913,*1475,
1788191374.6969762,mouse_move,,*2914,*1471,
1788191374.7090113,mouse_move,,*2915,*1466,
1788191374.720491,mouse_move,,*2915,*1462,
1788191374.7343073,mouse_move,,*2914,*1457,
1788191374.746682,mouse_move,,*2914,*1452,
1788191374.7584708,mouse_move,,*2913,*1447,
1788191374.7715545,mouse_move,,*2912,*1442,
1788191374.781152,mouse_move,,*2911,*1436,
1788191374.792552,mouse_move,,*2909,*1431,
1788191374.8024368,mouse_move,,*2906,*1426,
1788191374.8171425,mouse_move,,*2902,*1420,
1788191374.83315,mouse_move,,*2899,*1415,
1788191374.843781,mouse_move,,*2895,*1409,
1788191375.6385782,mouse_move,,*2892,*1404,
1788191375.650662,mouse_move,,*2888,*1400,
1788191375.663193,mouse_move,,*2884,*1396,
1788191375.6758294,mouse_move,,*2880,*1391,
1788191375.6845765,mouse_move,,*2875,*1387,
1788191375.7014124,mouse_move,,*2871,*1382,
1788191376.3849428,mouse_move,,*2868,*1378,
1788191376.398928,mouse_move,,*2864,*1374,
1788191376.4108753,mouse_move,,*2860,*1371,
1788191376.4200804,mouse_move,,*2857,*1367,
1788191376.4355114,mouse_move,,*2853,*1363,
1788191376.4555798,mouse_move,,*2850,*1359,
1788191376.4636369,mouse_move,,*2848,*1356,
1788191376.4763365,mouse_move,,*2845,*1353,
1788191376.482651,mouse_move,,*2843,*1351,
1788191376.490986,mouse_move,,*2839,*1349,
1788191376.502485,mouse_move,,*2834,*1347,
1788191376.5142987,mouse_move,,*2832,*1342,
1788191376.5243907,mouse_move,,*2833,*1336,
1788191376.5345762,mouse_move,,*2835,*1333,
1788191376.5469153,mouse_move,,*2839,*1330,
1788191376.5566435,mouse_move,,*2844,*1329,
1788191376.5716395,mouse_move,,*2849,*1328,
1788191376.5887153,mouse_move,,*2854,*1330,
1788191376.5989165,mouse_move,,*2857,*1333,
1788191376.6080832,mouse_move,,*2859,*1336,
1788191376.61684,mouse_move,,*2861,*1340,
1788191376.6270604,mouse_move,,*2863,*1344,
1788191376.6401856,mouse_move,,*2862,*1347,
1788191376.6484108,mouse_move,,*2862,*1350,
1788191376.667865,mouse_move,,*2862,*1353,
1788191376.6850138,mouse_move,,*2861,*1356,
1788191377.5057244,mouse_move,,*2859,*1360,
1788191377.516328,mouse_move,,*2858,*1362,
1788191377.5300274,mouse_move,,*2857,*1364,
1788191377.5391746,mouse_move,,*2855,*1366,
1788191377.5471451,mouse_move,,*2854,*1367,
1788191377.5574327,mouse_move,,*2852,*1369,
1788191377.5665455,mouse_move,,*2851,*1370,
1788191377.576089,mouse_move,,*2849,*1371,
1788191377.585537,mouse_move,,*2848,*1372,
1788191377.5938148,mouse_move,,*2846,*1374,
1788191377.6093364,mouse_move,,*2845,*1374,
1788191377.6247756,mouse_move,,*2844,*1374,
1788191377.6318004,mouse_move,,*2842,*1375,
1788191377.641514,mouse_move,,*2839,*1375,
1788191377.6547666,mouse_move,,*2837,*1376,
1788191377.663216,mouse_move,,*2834,*1376,
1788191377.6747062,mouse_move,,*2830,*1376,
1788191377.6854336,mouse_move,,*2827,*1378,
1788191378.3002698,mouse_move,,*2826,*1381,
1788191378.309678,mouse_move,,*2827,*1385,
1788191378.321624,mouse_move,,*2829,*1389,
1788191378.3375845,mouse_move,,*2831,*1393,
1788191378.3445756,mouse_move,,*2836,*1395,
1788191378.3504443,mouse_move,,*2841,*1396,
1788191378.3634787,mouse_move,,*2846,*1396,
1788191378.3719764,mouse_move,,*2852,*1394,
1788191378.382634,mouse_move,,*2856,*1391,
1788191378.3937347,mouse_move,,*2859,*1388,
1788191378.406738,mouse_move,,*2863,*1384,
1788191378.4182796,mouse_move,,*2865,*1381,
1788191378.4306378,mouse_move,,*2867,*1377,
1788191378.4434783,mouse_move,,*2867,*1371,
1788191378.4545584,mouse_move,,*2868,*1366,
1788191378.4663193,mouse_move,,*2869,*1360,
1788191378.477137,mouse_move,,*2868,*1354,
1788191378.4930823,mouse_move,,*2868,*1349,
1788191378.5064507,mouse_move,,*2867,*1342,
1788191378.5198894,mouse_move,,*2866,*1337,
1788191378.5345602,mouse_move,,*2864,*1332,
1788191378.5438712,mouse_move,,*2864,*1325,
1788191378.5598667,mouse_move,,*2861,*1320,
1788191378.5677695,mouse_move,,*2858,*1316,
1788191378.5761135,mouse_move,,*2855,*1311,
1788191378.833907,mouse_move,,*2852,*1306,
1788191378.842684,mouse_move,,*2848,*1301,
1788191378.8507185,mouse_move,,*2844,*1298,
1788191378.8669868,mouse_move,,*2840,*1293,
1788191378.8779042,mouse_move,,*2836,*1289,
1788191378.885384,mouse_move,,*2831,*1284,
1788191378.9008968,mouse_move,,*2827,*1280,
1788191378.9106412,mouse_move,,*2823,*1277,
1788191378.920772,mouse_move,,*2819,*1272,
1788191378.9939647,mouse_click,down,*2819,*1272,Button.left
1788191379.4080536,mouse_click,up,*2819,*1272,Button.left
1788191379.428281,mouse_move,,*2815,*1268,
1788191379.4405253,mouse_move,,*2812,*1264,
1788191379.4515133,mouse_move,,*2807,*1260,
1788191379.4625287,mouse_move,,*2802,*1256,
1788191379.4782686,mouse_move,,*2798,*1251,
1788191379.486731,mouse_move,,*2794,*1244,
1788191379.4962559,mouse_move,,*2791,*1236,
1788191379.505996,mouse_move,,*2788,*1228,
1788191379.8878376,mouse_move,,*2787,*1220,
1788191379.8957582,mouse_move,,*2787,*1212,
1788191379.9039195,mouse_move,,*2788,*1203,
1788191379.9194233,mouse_move,,*2792,*1194,
1788191379.9336734,mouse_move,,*2794,*1186,
1788191379.9457498,mouse_move,,*2798,*1179,
1788191379.9521806,mouse_move,,*2802,*1172,
1788191379.9611456,mouse_move,,*2805,*1165,
1788191379.9717586,mouse_move,,*2809,*1158,
1788191379.9868934,mouse_move,,*2814,*1152,
1788191379.999391,mouse_move,,*2818,*1146,
1788191380.0060673,mouse_move,,*2823,*1141,
1788191380.0150316,mouse_move,,*2829,*1137,
1788191380.0304992,mouse_move,,*2834,*1131,
1788191380.0471354,mouse_move,,*2839,*1126,
1788191380.054803,mouse_move,,*2845,*1122,
1788191380.0745094,mouse_move,,*2851,*1117,
1788191380.0844717,mouse_move,,*2857,*1112,
1788191380.0986514,mouse_move,,*2864,*1107,
1788191380.110248,mouse_move,,*2871,*1103,
1788191380.1248133,mouse_move,,*2880,*1099,
1788191380.1357305,mouse_move,,*2887,*1095,
1788191380.1472173,mouse_move,,*2895,*1093,
1788191380.1687772,mouse_move,,*2902,*1090,
1788191380.1838632,mouse_move,,*2909,*1089,
1788191380.1971543,mouse_move,,*2916,*1087,
1788191380.2117095,mouse_move,,*2924,*1087,
1788191380.2196252,mouse_move,,*2933,*1088,
1788191380.2309535,mouse_move,,*2940,*1088,
1788191380.2406566,mouse_move,,*2948,*1088,
1788191380.2526648,mouse_move,,*2956,*1090,
1788191380.2649915,mouse_move,,*2964,*1092,
1788191380.280041,mouse_move,,*2965,*1095,
1788191380.2963264,mouse_move,,*2958,*1099,
1788191380.3063636,mouse_move,,*2953,*1104,
1788191380.3155577,mouse_move,,*2949,*1111,
1788191380.3263621,mouse_move,,*2946,*1117,
1788191380.337729,mouse_move,,*2946,*1125,
1788191380.3534794,mouse_move,,*2947,*1130,
1788191380.363986,mouse_move,,*2948,*1136,
1788191380.3746862,mouse_move,,*2952,*1141,
1788191380.3845758,mouse_move,,*2956,*1146,
