timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.815108,mouse_click,up,*2626,*1587,Button.left
1788191375.063064,mouse_move,,*2624,*1586,
1788191375.069118,mouse_move,,*2622,*1587,
1788191375.0773487,mouse_move,,*2621,*1590,
1788191375.086052,mouse_move,,*2621,*1593,
1788191375.0994058,mouse_move,,*2621,*1596,
1788191375.1108334,mouse_move,,*2623,*1599,
1788191375.1261954,mouse_move,,*2625,*1603,
1788191375.1393619,mouse_move,,*2627,*1606,
1788191375.144582,mouse_move,,*2630,*1609,
1788191375.1526759,mouse_move,,*2633,*1611,
1788191375.1652474,mouse_move,,*2637,*1612,
1788191375.175831,mouse_move,,*2640,*1614,
1788191375.1847913,mouse_move,,*2642,*1616,
1788191375.1957555,mouse_move,,*2644,*1618,
1788191375.2079067,mouse_move,,*2646,*1621,
1788191375.213271,mouse_move,,*2647,*1625,
1788191375.2231903,mouse_move,,*2647,*1628,
1788191375.2327776,mouse_move,,*2646,*1632,
1788191375.2404368,mouse_move,,*2645,*1636,
1788191375.2525487,mouse_move,,*2644,*1638,
1788191375.260037,mouse_move,,*2642,*1641,
1788191375.2746167,mouse_move,,*2640,*1644,
1788191375.288399,mouse_move,,*2638,*1646,
1788191375.2998161,mouse_move,,*2636,*1648,
1788191375.3106704,mouse_move,,*2633,*1649,
1788191375.3181486,mouse_move,,*2630,*1650,
1788191375.329814,mouse_move,,*2627,*1651,
1788191375.3379662,mouse_move,,*2624,*1654,
1788191375.3523877,mouse_move,,*2622,*1655,
1788191375.3616366,mouse_move,,*2620,*1657,
1788191375.376035,mouse_move,,*2615,*1659,
1788191375.3868394,mouse_move,,*2612,*1661,
1788191375.6372828,mouse_move,,*2609,*1663,
1788191375.6428807,mouse_move,,*2605,*1665,
1788191375.6529703,mouse_move,,*2601,*1667,
1788191375.6667309,mouse_move,,*2596,*1668,
1788191375.6767771,mouse_move,,*2592,*1671,
1788191375.690242,mouse_move,,*2587,*1672,
1788191375.7004137,mouse_move,,*2582,*1674,
1788191375.7118373,mouse_move,,*2577,*1676,
1788191376.3057337,mouse_move,,*2572,*1677,
1788191376.929815,mouse_move,,*2567,*1679,
1788191376.9374316,mouse_move,,*2562,*1679,
1788191376.945944,mouse_move,,*2558,*1680,
1788191376.9577937,mouse_move,,*2553,*1681,
1788191376.9678726,mouse_move,,*2548,*1681,
1788191376.9778893,mouse_move,,*2542,*1683,
1788191376.990649,mouse_move,,*2537,*1684,
1788191376.9979384,mouse_move,,*2531,*1684,
1788191377.008291,mouse_move,,*2525,*1686,
1788191377.0155063,mouse_move,,*2518,*1687,
1788191377.022197,mouse_move,,*2511,*1689,
1788191377.0306544,mouse_move,,*2503,*1689,
1788191377.0393238,mouse_move,,*2495,*1690,
1788191377.0469565,mouse_move,,*2488,*1691,
1788191377.0630054,mouse_move,,*2481,*1692,
1788191377.0719306,mouse_move,,*2474,*1692,
1788191377.0850918,mouse_move,,*2468,*1693,
1788191377.0988321,mouse_move,,*2460,*1695,
1788191377.1090147,mouse_move,,*2454,*1696,
1788191377.117967,mouse_move,,*2448,*1696,
1788191377.1337707,mouse_move,,*2442,*1696,
1788191377.1475816,mouse_move,,*2436,*1697,
1788191377.1558867,mouse_move,,*2430,*1697,
1788191377.1627674,mouse_move,,*2423,*1698,
1788191377.1720877,mouse_move,,*2417,*1699,
1788191377.1797616,mouse_move,,*2412,*1704,
1788191377.1941073,mouse_move,,*2410,*1710,
1788191377.2021394,mouse_move,,*2411,*1716,
1788191377.211982,mouse_move,,*2414,*1721,
1788191377.2208836,mouse_move,,*2419,*1724,
1788191377.235831,mouse_move,,*2425,*1726,
1788191377.2459843,mouse_move,,*2430,*1725,
1788191377.258959,mouse_move,,*2435,*1723,
1788191377.2744985,mouse_move,,*2440,*1719,
1788191377.2819357,mouse_move,,*2442,*1714,
1788191377.294656,mouse_move,,*2444,*1709,
1788191377.2995496,mouse_move,,*2446,*1703,
1788191377.3088453,mouse_move,,*2446,*1698,
1788191377.3156424,mouse_move,,*2446,*1693,
1788191377.3256211,mouse_move,,*2445,*1687,
1788191377.3359883,mouse_move,,*2444,*1681,
1788191377.3487709,mouse_move,,*2441,*1676,
1788191377.357856,mouse_move,,*2438,*1670,
1788191377.3685865,mouse_move,,*2435,*1666,
1788191377.3800747,mouse_move,,*2432,*1661,
1788191377.3881154,mouse_move,,*2428,*1657,
1788191377.399181,mouse_move,,*2425,*1654,
1788191377.4080381,mouse_move,,*2420,*1650,
1788191377.4176314,mouse_move,,*2416,*1646,
1788191377.42488,mouse_move,,*2411,*1643,
1788191377.4345539,mouse_move,,*2406,*1640,
1788191377.444508,mouse_move,,*2401,*1637,
1788191377.4551136,mouse_move,,*2396,*1634,
