timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191373.9767697,mouse_click,up,*2728,*1618,Button.left
1788191375.0021756,mouse_move,,*2718,*1616,
1788191375.039533,mouse_move,,*2708,*1614,
1788191375.0635943,mouse_move,,*2696,*1612,
1788191375.0859275,mouse_move,,*2684,*1611,
1788191375.10145,mouse_move,,*2675,*1609,
1788191375.113522,mouse_move,,*2664,*1608,
1788191375.1444638,mouse_move,,*2653,*1608,
1788191375.1783693,mouse_move,,*2643,*1607,
1788191375.196256,mouse_move,,*2633,*1607,
1788191375.22291,mouse_move,,*2622,*1607,
1788191375.2466722,mouse_move,,*2613,*1612,
1788191375.2842207,mouse_move,,*2607,*1620,
1788191375.3135846,mouse_move,,*2605,*1627,
1788191375.338377,mouse_move,,*2608,*1634,
1788191375.3677685,mouse_move,,*2613,*1640,
1788191375.3935695,mouse_move,,*2621,*1642,
1788191375.4138985,mouse_move,,*2628,*1641,
1788191375.4560423,mouse_move,,*2635,*1639,
1788191375.48075,mouse_move,,*2642,*1636,
1788191375.5018048,mouse_move,,*2647,*1631,
1788191375.521602,mouse_move,,*2652,*1625,
1788191375.5455387,mouse_move,,*2655,*1619,
1788191375.5634599,mouse_move,,*2657,*1612,
1788191375.5991752,mouse_move,,*2659,*1605,
1788191375.6260118,mouse_move,,*2657,*1598,
1788191375.649646,mouse_move,,*2657,*1591,
1788191375.6790767,mouse_move,,*2656,*1585,
1788191375.7042081,mouse_move,,*2653,*1578,
1788191375.7292004,mouse_move,,*2650,*1571,
1788191375.7452562,mouse_move,,*2648,*1563,
1788191375.7698777,mouse_move,,*2644,*1557,
1788191375.789437,mouse_move,,*2640,*1550,
1788191375.8089206,mouse_move,,*2637,*1544,
1788191375.8339405,mouse_move,,*2635,*1537,
1788191375.8668036,mouse_move,,*2631,*1528,
1788191375.8891761,mouse_move,,*2628,*1519,
1788191375.9065673,mouse_move,,*2626,*1510,
1788191375.9371529,mouse_move,,*2625,*1503,
1788191375.960194,mouse_move,,*2623,*1494,
1788191375.973803,mouse_move,,*2621,*1485,
1788191375.9841092,mouse_move,,*2620,*1476,
1788191376.0130458,mouse_move,,*2619,*1467,
1788191376.0308533,mouse_move,,*2618,*1457,
1788191376.0548272,mouse_move,,*2618,*1448,
1788191376.093267,mouse_move,,*2618,*1439,
1788191376.1153657,mouse_move,,*2617,*1431,
1788191376.1380055,mouse_move,,*2617,*1422,
1788191376.1660178,mouse_move,,*2618,*1413,
1788191376.1944084,mouse_move,,*2620,*1403,
1788191376.2127566,mouse_move,,*2619,*1393,
1788191376.2373044,mouse_move,,*2618,*1384,
1788191376.2514508,mouse_move,,*2614,*1373,
1788191376.2769494,mouse_move,,*2609,*1363,
1788191376.2988913,mouse_move,,*2603,*1352,
1788191376.3217683,mouse_move,,*2597,*1342,
1788191376.3455539,mouse_move,,*2590,*1332,
1788191376.371434,mouse_move,,*2581,*1321,
1788191376.389514,mouse_move,,*2573,*1311,
1788191376.409453,mouse_move,,*2564,*1302,
1788191376.426532,mouse_move,,*2555,*1293,
1788191376.447774,mouse_move,,*2546,*1286,
1788191376.465431,mouse_move,,*2536,*1278,
1788191376.4915764,mouse_move,,*2525,*1269,
1788191376.5108507,mouse_move,,*2514,*1257,
1788191376.5268664,mouse_move,,*2500,*1247,
1788191376.5655034,mouse_move,,*2489,*1238,
1788191376.5812392,mouse_move,,*2476,*1226,
1788191376.6145089,mouse_move,,*2464,*1216,
1788191376.6350112,mouse_move,,*2451,*1204,
1788191376.6504283,mouse_move,,*2436,*1194,
1788191376.6736245,mouse_move,,*2423,*1182,
1788191376.689458,mouse_move,,*2410,*1174,
1788191376.724194,mouse_move,,*2398,*1164,
1788191376.7432563,mouse_move,,*2384,*1154,
1788191376.7730858,mouse_move,,*2370,*1144,
1788191376.7941647,mouse_move,,*2355,*1134,
1788191376.816812,mouse_move,,*2340,*1124,
1788191376.8434994,mouse_move,,*2326,*1115,
1788191377.5752063,mouse_move,,*2310,*1107,
1788191377.6050024,mouse_move,,*2295,*1096,
1788191377.6260695,mouse_move,,*2281,*1086,
1788191377.6413524,mouse_move,,*2266,*1077,
1788191377.6662912,mouse_move,,*2250,*1067,
