timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.010429,mouse_click,up,*2933,*1534,Button.left
1788191375.7045302,mouse_move,,*2938,*1547,
1788191375.7330377,mouse_move,,*2945,*1555,
1788191375.7519658,mouse_move,,*2958,*1561,
1788191375.7729461,mouse_move,,*2965,*1562,
1788191375.7964334,mouse_move,,*2954,*1571,
1788191375.8133483,mouse_move,,*2950,*1583,
1788191375.840187,mouse_move,,*2952,*1597,
1788191375.8542755,mouse_move,,*2960,*1609,
1788191375.8765988,mouse_move,,*2965,*1617,
1788191375.899994,mouse_move,,*2960,*1632,
1788191375.9224157,mouse_move,,*2963,*1647,
1788191375.94366,mouse_move,,*2965,*1658,
1788191375.9595473,mouse_move,,*2964,*1671,
1788191375.9808226,mouse_move,,*2965,*1684,
1788191375.994497,mouse_move,,*2965,*1696,
1788191376.0055654,mouse_move,,*2965,*1710,
1788191376.0429726,mouse_move,,*2965,*1723,
1788191376.0835264,mouse_move,,*2965,*1737,
1788191376.1144993,mouse_move,,*2965,*1750,
1788191376.1361187,mouse_move,,*2965,*1765,
1788191376.1644568,mouse_move,,*2965,*1781,
1788191376.198646,mouse_move,,*2965,*1796,
1788191376.2169719,mouse_move,,*2965,*1810,
1788191376.2366898,mouse_move,,*2965,*1824,
1788191376.2582338,mouse_move,,*2965,*1838,
1788191376.2902546,mouse_move,,*2965,*1852,
1788191376.3148122,mouse_move,,*2965,*1861,
1788191376.3366747,mouse_move,,*2963,*1846,
1788191376.364343,mouse_move,,*2961,*1834,
1788191376.3782344,mouse_move,,*2956,*1820,
1788191376.4020896,mouse_move,,*2951,*1808,
1788191376.4208984,mouse_move,,*2946,*1796,
1788191376.4428976,mouse_move,,*2940,*1785,
1788191376.4728558,mouse_move,,*2935,*1774,
1788191376.4946961,mouse_move,,*2928,*1763,
1788191376.5167334,mouse_move,,*2921,*1754,
1788191376.8069003,mouse_move,,*2912,*1744,
1788191376.8217707,mouse_move,,*2906,*1736,
1788191376.8473961,mouse_move,,*2898,*1728,
1788191376.866677,mouse_move,,*2890,*1720,
1788191376.8845127,mouse_move,,*2881,*1711,
1788191376.909416,mouse_move,,*2871,*1702,
1788191376.9285433,mouse_move,,*2862,*1691,
1788191376.9453485,mouse_move,,*2852,*1682,
1788191376.964221,mouse_move,,*2842,*1673,
1788191376.984526,mouse_move,,*2830,*1663,
1788191377.0030243,mouse_move,,*2820,*1655,
1788191377.022921,mouse_move,,*2809,*1645,
1788191377.0546687,mouse_move,,*2800,*1634,
1788191377.0810602,mouse_move,,*2788,*1622,
1788191377.1060221,mouse_move,,*2777,*1612,
1788191377.1346295,mouse_move,,*2767,*1601,
1788191377.1539972,mouse_move,,*2757,*1591,
1788191377.173081,mouse_move,,*2746,*1580,
1788191377.2009518,mouse_move,,*2734,*1570,
1788191377.2181327,mouse_move,,*2722,*1561,
1788191377.2340138,mouse_move,,*2710,*1552,
1788191377.2526097,mouse_move,,*2699,*1543,
1788191377.2725732,mouse_move,,*2688,*1533,
1788191377.3112223,mouse_move,,*2676,*1524,
1788191377.3413372,mouse_move,,*2664,*1515,
1788191377.3627794,mouse_move,,*2652,*1505,
1788191377.8486817,mouse_move,,*2641,*1494,
1788191377.8720117,mouse_move,,*2631,*1484,
1788191377.8931606,mouse_move,,*2619,*1474,
1788191377.9114563,mouse_move,,*2606,*1465,
1788191377.9325829,mouse_move,,*2594,*1456,
1788191377.9527926,mouse_move,,*2582,*1446,
1788191377.9725893,mouse_move,,*2569,*1438,
1788191377.9937882,mouse_move,,*2556,*1429,
1788191378.0136898,mouse_move,,*2543,*1420,
1788191378.030243,mouse_move,,*2530,*1412,
1788191378.0727322,mouse_move,,*2518,*1403,
1788191378.0950038,mouse_move,,*2506,*1395,
1788191378.1168401,mouse_move,,*2492,*1385,
1788191378.1304135,mouse_move,,*2478,*1375,
1788191378.1556926,mouse_move,,*2463,*1366,
1788191378.1889334,mouse_move,,*2448,*1357,
1788191378.204653,mouse_move,,*2432,*1348,
1788191378.2285392,mouse_move,,*2417,*1339,
1788191378.261543,mouse_move,,*2401,*1330,
1788191378.2829509,mouse_move,,*2384,*1321,
1788191378.313733,mouse_move,,*2367,*1313,
1788191378.330021,mouse_move,,*2350,*1303,
1788191378.362416,mouse_move,,*2334,*1293,
1788191378.3898532,mouse_move,,*2317,*1282,
1788191378.4110339,mouse_move,,*2300,*1273,
1788191378.432259,mouse_move,,*2284,*1263,
1788191378.4658072,mouse_move,,*2269,*1251,
1788191378.4917164,mouse_move,,*2254,*1240,
1788191378.5209723,mouse_move,,*2239,*1229,
1788191378.5472214,mouse_move,,*2223,*1217,
1788191378.5608292,mouse_move,,*2207,*1204,
1788191378.5809674,mouse_move,,*2199,*1186,
1788191378.5989969,mouse_move,,*2200,*1166,
1788191378.6188054,mouse_move,,*2207,*1147,
1788191378.6514287,mouse_move,,*2220,*1132,
1788191378.668905,mouse_move,,*2239,*1123,
1788191378.6861844,mouse_move,,*2259,*1122,
1788191378.7096465,mouse_move,,*2279,*1124,
1788191378.73596,mouse_move,,*2297,*1131,
1788191378.7547069,mouse_move,,*2313,*1142,
1788191378.773423,mouse_move,,*2324,*1157,
1788191378.8002856,mouse_move,,*2334,*1173,
1788191378.8243315,mouse_move,,*2340,*1192,
1788191378.852804,mouse_move,,*2342,*1212,
1788191378.873364,mouse_move,,*2341,*1233,
1788191378.8934855,mouse_move,,*2337,*1253,
1788191378.924975,mouse_move,,*2332,*1273,
1788191378.9474738,mouse_move,,*2324,*1292,
1788191378.968587,mouse_move,,*2315,*1310,
1788191378.9870598,mouse_move,,*2305,*1328,
1788191379.0072107,mouse_move,,*2293,*1344,
1788191379.0281358,mouse_move,,*2280,*1359,
1788191379.1015987,mouse_click,down,*2280,*1359,Button.left
1788191379.6564782,mouse_click,up,*2280,*1359,Button.left
1788191379.6728754,mouse_move,,*2266,*1373,
1788191379.6879666,mouse_move,,*2250,*1386,
1788191379.7060757,mouse_move,,*2236,*1398,
1788191379.7267175,mouse_move,,*2220,*1409,
1788191379.7486014,mouse_move,,*2204,*1420,
1788191379.7666397,mouse_move,,*2187,*1429,
1788191379.7767267,mouse_move,,*2169,*1439,
1788191379.7930527,mouse_move,,*2153,*1449,
1788191379.8147912,mouse_move,,*2135,*1459,
1788191379.8268383,mouse_move,,*2117,*1468,
1788191379.851519,mouse_move,,*2099,*1477,
1788191379.8801687,mouse_move,,*2081,*1485,
1788191379.9072394,mouse_move,,*2062,*1492,
1788191379.9251306,mouse_move,,*2043,*1500,
1788191379.9441288,mouse_move,,*2024,*1507,
1788191379.965582,mouse_move,,*2005,*1512,
1788191379.9838235,mouse_move,,*1985,*1516,
1788191380.0042002,mouse_move,,*1966,*1522,
1788191380.0290756,mouse_move,,*1947,*1526,
1788191380.0597792,mouse_move,,*1929,*1530,
1788191380.0822892,mouse_move,,*1911,*1534,
1788191380.0967472,mouse_move,,*1893,*1537,
1788191380.1177983,mouse_move,,*1877,*1540,
1788191380.1406014,mouse_move,,*1862,*1543,
1788191380.1612785,mouse_move,,*1847,*1546,
1788191380.184637,mouse_move,,*1831,*1549,
1788191380.209696,mouse_move,,*1815,*1552,
1788191380.2214437,mouse_move,,*1801,*1554,
1788191380.2640562,mouse_move,,*1786,*1558,
1788191380.2899368,mouse_move,,*1772,*1560,
1788191380.3102274,mouse_move,,*1756,*1561,
1788191380.3299756,mouse_move,,*1740,*1563,
1788191380.3411083,mouse_move,,*1724,*1564,
1788191380.365836,mouse_move,,*1707,*1565,
1788191380.3962018,mouse_move,,*1691,*1566,
1788191380.427057,mouse_move,,*1675,*1568,
1788191380.445038,mouse_move,,*1660,*1569,
1788191380.466636,mouse_move,,*1645,*1569,
1788191380.492766,mouse_move,,*1631,*1571,
1788191380.5135915,mouse_move,,*1615,*1571,
1788191380.5402873,mouse_move,,*1599,*1572,
1788191380.566116,mouse_move,,*1584,*1573,
1788191380.589613,mouse_move,,*1567,*1575,
1788191380.6086843,mouse_move,,*1552,*1575,
1788191380.6395793,mouse_move,,*1536,*1575,
1788191380.663664,mouse_move,,*1522,*1575,
1788191380.7160482,mouse_move,,*1508,*1576,
1788191380.7344422,mouse_move,,*1493,*1576,
1788191380.7513864,mouse_move,,*1479,*1575,
1788191380.7737503,mouse_move,,*1466,*1574,
1788191380.7878656,mouse_move,,*1450,*1574,
1788191380.8138528,mouse_move,,*1437,*1574,
1788191380.833952,mouse_move,,*1424,*1574,
1788191380.8528228,mouse_move,,*1410,*1574,
1788191380.8652315,mouse_move,,*1395,*1573,
1788191380.8788385,mouse_move,,*1381,*1572,
1788191380.9042838,mouse_move,,*1367,*1572,
1788191380.9272752,mouse_move,,*1354,*1569,
1788191380.9478226,mouse_move,,*1341,*1567,
1788191381.1323388,mouse_move,,*1327,*1567,
1788191381.151464,mouse_move,,*1313,*1566,
1788191381.1735218,mouse_move,,*1297,*1566,
1788191381.1941504,mouse_move,,*1282,*1567,
1788191381.2226396,mouse_move,,*1268,*1567,
1788191381.2424932,mouse_move,,*1254,*1569,
1788191381.2548242,mouse_move,,*1239,*1570,
1788191381.2746706,mouse_move,,*1226,*1573,
1788191381.2950728,mouse_move,,*1213,*1576,
1788191381.3311586,mouse_move,,*1199,*1580,
1788191381.3478937,mouse_move,,*1188,*1588,
1788191381.3738325,mouse_move,,*1180,*1598,
1788191381.3949535,mouse_move,,*1175,*1610,
1788191381.4142327,mouse_move,,*1174,*1623,
1788191381.431769,mouse_move,,*1176,*1636,
1788191381.4602683,mouse_move,,*1183,*1647,
1788191381.4782279,mouse_move,,*1193,*1655,
1788191381.5098085,mouse_move,,*1205,*1660,
1788191381.530248,mouse_move,,*1216,*1662,
1788191381.5573204,mouse_move,,*1228,*1661,
1788191381.5851278,mouse_move,,*1239,*1657,
1788191381.6199448,mouse_move,,*1250,*1652,
1788191381.6381617,mouse_move,,*1258,*1645,
1788191381.6571138,mouse_move,,*1265,*1636,
1788191381.6836991,mouse_move,,*1270,*1628,
1788191381.6993368,mouse_move,,*1274,*1617,
1788191381.7298298,mouse_move,,*1279,*1607,
1788191381.7533188,mouse_move,,*1282,*1597,
1788191381.7777452,mouse_move,,*1285,*1585,
1788191381.7888637,mouse_move,,*1287,*1573,
1788191381.8080094,mouse_move,,*1288,*1562,
1788191381.830978,mouse_move,,*1288,*1553,
1788191381.8504677,mouse_move,,*1286,*1543,
1788191381.8788543,mouse_move,,*1285,*1532,
1788191381.896338,mouse_move,,*1282,*1520,
1788191381.919783,mouse_move,,*1278,*1510,
1788191381.9373837,mouse_move,,*1274,*1500,
1788191381.9672744,mouse_move,,*1270,*1490,
1788191381.9933121,mouse_move,,*1266,*1480,
1788191382.006602,mouse_move,,*1262,*1471,
1788191382.0287697,mouse_move,,*1257,*1461,
1788191382.0495944,mouse_move,,*1252,*1451,
1788191382.0728981,mouse_move,,*1247,*1444,
1788191382.100623,mouse_move,,*1242,*1437,
1788191382.127662,mouse_move,,*1238,*1430,
1788191382.1480513,mouse_move,,*1234,*1424,
1788191382.1684525,mouse_move,,*1231,*1417,
1788191382.1958897,mouse_move,,*1229,*1409,
1788191382.2145357,mouse_move,,*1229,*1400,
1788191382.2466958,mouse_move,,*1229,*1392,
1788191382.2691507,mouse_move,,*1230,*1382,
1788191382.3054051,mouse_move,,*1233,*1373,
1788191382.330783,mouse_move,,*1237,*1363,
1788191382.349978,mouse_move,,*1242,*1354,
1788191382.3768,mouse_move,,*1247,*1346,
1788191382.3946705,mouse_move,,*1252,*1339,
1788191382.416437,mouse_move,,*1256,*1332,
1788191382.4417756,mouse_move,,*1260,*1325,
1788191382.4701676,mouse_move,,*1265,*1317,
1788191382.4909544,mouse_move,,*1269,*1309,
1788191382.5198414,mouse_move,,*1275,*1300,
1788191382.5475845,mouse_move,,*1280,*1291,
1788191382.5862837,mouse_move,,*1286,*1282,
1788191383.375148,mouse_click,down,*1286,*1282,Button.left
1788191383.4325292,mouse_click,up,*1286,*1282,Button.left
1788191383.4503417,mouse_move,,*1291,*1274,
1788191383.4653773,mouse_move,,*1297,*1265,
1788191383.494619,mouse_move,,*1303,*1255,
1788191383.5250275,mouse_move,,*1309,*1245,
1788191383.5377731,mouse_move,,*1315,*1236,
1788191383.5524807,mouse_move,,*1320,*1226,
1788191383.5657284,mouse_move,,*1326,*1216,
1788191383.5925148,mouse_move,,*1331,*1207,
1788191383.6121223,mouse_move,,*1336,*1197,
1788191383.6314237,mouse_move,,*1342,*1187,
1788191383.650243,mouse_move,,*1350,*1177,
1788191383.6774895,mouse_move,,*1356,*1168,
1788191383.7066514,mouse_move,,*1363,*1158,
1788191383.7357516,mouse_move,,*1371,*1149,
1788191383.7503073,mouse_move,,*1380,*1140,
1788191383.7690885,mouse_move,,*1389,*1133,
1788191383.8373504,keyboard,down,*,*,
1788191383.957285,keyboard,up,*,*,
1788191383.9758334,mouse_move,,*1400,*1128,
1788191384.0015485,mouse_move,,*1412,*1124,
1788191384.0496476,mouse_move,,*1425,*1120,
1788191384.0888522,mouse_move,,*1437,*1118,
1788191384.1134741,mouse_move,,*1450,*1115,
1788191384.1384878,mouse_move,,*1464,*1114,
1788191384.1578038,mouse_move,,*1479,*1113,
1788191384.2340636,keyboard,down,*,*,
1788191384.3795054,keyboard,down,*,*,
1788191384.511211,keyboard,up,*,*,
1788191384.7477002,keyboard,up,*,*,
1788191384.7641964,mouse_move,,*1493,*1113,
1788191384.7843497,mouse_move,,*1509,*1113,
1788191384.8332074,mouse_move,,*1525,*1114,
1788191384.8456216,mouse_move,,*1541,*1116,
1788191384.8638713,mouse_move,,*1557,*1117,
