timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191373.8777566,mouse_click,up,*2945,*1347,Button.left
1788191374.711707,mouse_move,,*2939,*1349,
1788191374.7260342,mouse_move,,*2932,*1350,
1788191374.7352378,mouse_move,,*2924,*1352,
1788191374.7444093,mouse_move,,*2918,*1354,
1788191374.7575395,mouse_move,,*2912,*1355,
1788191374.7674792,mouse_move,,*2906,*1356,
1788191374.7772853,mouse_move,,*2900,*1358,
1788191374.795455,mouse_move,,*2893,*1360,
1788191374.808511,mouse_move,,*2886,*1361,
1788191374.8204584,mouse_move,,*2881,*1366,
1788191374.831608,mouse_move,,*2878,*1372,
1788191374.848477,mouse_move,,*2878,*1378,
1788191374.8638206,mouse_move,,*2880,*1385,
1788191374.876225,mouse_move,,*2886,*1390,
1788191374.890574,mouse_move,,*2892,*1393,
1788191374.8968437,mouse_move,,*2898,*1394,
1788191374.9029605,mouse_move,,*2905,*1392,
1788191374.913469,mouse_move,,*2911,*1389,
1788191374.921826,mouse_move,,*2916,*1384,
1788191374.9365826,mouse_move,,*2921,*1378,
1788191374.9454656,mouse_move,,*2924,*1371,
1788191374.954037,mouse_move,,*2925,*1365,
1788191374.9742851,mouse_move,,*2925,*1359,
1788191374.9885335,mouse_move,,*2925,*1353,
1788191375.001392,mouse_move,,*2924,*1347,
1788191375.0177822,mouse_move,,*2922,*1341,
1788191375.0301409,mouse_move,,*2920,*1335,
1788191375.045004,mouse_move,,*2917,*1329,
1788191375.0556576,mouse_move,,*2913,*1324,
1788191375.0693312,mouse_move,,*2909,*1319,
1788191375.0798764,mouse_move,,*2904,*1315,
1788191375.088126,mouse_move,,*2899,*1311,
1788191375.0981088,mouse_move,,*2893,*1307,
1788191375.1146822,mouse_move,,*2887,*1303,
1788191375.1282296,mouse_move,,*2880,*1299,
1788191375.1419291,mouse_move,,*2873,*1295,
1788191375.1565785,mouse_move,,*2866,*1292,
1788191375.3127422,mouse_move,,*2859,*1289,
1788191375.3293514,mouse_move,,*2851,*1286,
1788191375.3378055,mouse_move,,*2843,*1283,
1788191375.346506,mouse_move,,*2837,*1282,
1788191375.3626165,mouse_move,,*2829,*1281,
1788191375.3819532,mouse_move,,*2821,*1279,
1788191375.3947277,mouse_move,,*2813,*1276,
1788191375.408693,mouse_move,,*2804,*1273,
1788191375.42236,mouse_move,,*2797,*1271,
1788191375.42954,mouse_move,,*2789,*1268,
1788191375.4416919,mouse_move,,*2780,*1266,
1788191375.4522882,mouse_move,,*2772,*1262,
1788191376.2017622,mouse_move,,*2763,*1259,
1788191376.2070713,mouse_move,,*2755,*1255,
1788191376.2153807,mouse_move,,*2748,*1252,
1788191376.2306557,mouse_move,,*2739,*1248,
1788191376.2394807,mouse_move,,*2731,*1244,
1788191376.247653,mouse_move,,*2723,*1240,
1788191377.0238378,mouse_move,,*2715,*1236,
1788191377.0375528,mouse_move,,*2708,*1232,
1788191377.0482457,mouse_move,,*2700,*1228,
1788191377.0560608,mouse_move,,*2693,*1225,
1788191377.0671918,mouse_move,,*2684,*1221,
1788191377.07734,mouse_move,,*2676,*1218,
1788191377.0865512,mouse_move,,*2668,*1215,
