timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.4504447,mouse_click,up,*2965,*1224,Button.left
1788191374.7699685,mouse_move,,*2965,*1221,
1788191374.7906477,mouse_move,,*2955,*1219,
1788191374.8117988,mouse_move,,*2948,*1217,
1788191374.8245378,mouse_move,,*2940,*1216,
1788191374.85098,mouse_move,,*2933,*1217,
1788191374.8673482,mouse_move,,*2926,*1216,
1788191374.8811169,mouse_move,,*2919,*1214,
1788191374.8967216,mouse_move,,*2912,*1214,
1788191374.915343,mouse_move,,*2904,*1214,
1788191374.9320068,mouse_move,,*2897,*1214,
1788191374.9525826,mouse_move,,*2891,*1214,
1788191374.974853,mouse_move,,*2885,*1214,
1788191374.995698,mouse_move,,*2880,*1214,
1788191375.0275624,mouse_move,,*2874,*1215,
1788191375.0449185,mouse_move,,*2868,*1215,
1788191375.0673063,mouse_move,,*2862,*1215,
1788191375.07684,mouse_move,,*2854,*1215,
1788191375.0964947,mouse_move,,*2847,*1216,
1788191375.1135514,mouse_move,,*2840,*1217,
1788191375.1392443,mouse_move,,*2834,*1217,
1788191375.157123,mouse_move,,*2826,*1217,
1788191375.1784146,mouse_move,,*2818,*1218,
1788191375.1974094,mouse_move,,*2811,*1219,
1788191375.2172766,mouse_move,,*2803,*1220,
1788191375.232098,mouse_move,,*2796,*1222,
1788191375.2523782,mouse_move,,*2790,*1227,
1788191375.2742784,mouse_move,,*2786,*1231,
1788191375.294571,mouse_move,,*2782,*1235,
1788191375.3096855,mouse_move,,*2776,*1241,
1788191375.3239815,mouse_move,,*2769,*1246,
1788191375.3410535,mouse_move,,*2761,*1251,
1788191375.3602953,mouse_move,,*2758,*1259,
1788191375.3896434,mouse_move,,*2758,*1267,
1788191375.4047775,mouse_move,,*2762,*1276,
1788191375.4200099,mouse_move,,*2769,*1283,
1788191375.4338355,mouse_move,,*2778,*1288,
1788191375.445259,mouse_move,,*2790,*1289,
1788191375.4633255,mouse_move,,*2802,*1288,
1788191375.4852498,mouse_move,,*2812,*1285,
1788191375.496566,mouse_move,,*2822,*1278,
1788191375.5167327,mouse_move,,*2830,*1270,
1788191375.5377486,mouse_move,,*2836,*1260,
1788191375.5631437,mouse_move,,*2841,*1248,
