timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.698006,mouse_click,up,*2965,*1383,Button.left
1788191374.743862,mouse_move,,*2958,*1396,
1788191374.7592132,mouse_move,,*2958,*1409,
1788191374.7778533,mouse_move,,*2964,*1420,
1788191374.792552,mouse_move,,*2965,*1428,
1788191374.8018744,mouse_move,,*2961,*1440,
1788191374.8266327,mouse_move,,*2964,*1450,
1788191374.8381698,mouse_move,,*2965,*1459,
1788191374.8595204,mouse_move,,*2963,*1471,
1788191374.8752246,mouse_move,,*2965,*1481,
1788191374.9022162,mouse_move,,*2965,*1493,
1788191374.915106,mouse_move,,*2965,*1505,
1788191374.9308913,mouse_move,,*2965,*1515,
1788191374.9542477,mouse_move,,*2965,*1527,
1788191374.9645586,mouse_move,,*2965,*1538,
1788191374.9935513,mouse_move,,*2965,*1550,
1788191375.0067723,mouse_move,,*2965,*1563,
1788191375.0315454,mouse_move,,*2965,*1577,
1788191375.0484672,mouse_move,,*2965,*1590,
1788191375.0697799,mouse_move,,*2965,*1604,
1788191375.0819476,mouse_move,,*2965,*1617,
1788191375.1093087,mouse_move,,*2965,*1630,
1788191375.1293,mouse_move,,*2965,*1643,
1788191375.1538363,mouse_move,,*2965,*1655,
1788191375.168,mouse_move,,*2965,*1668,
1788191375.1862903,mouse_move,,*2965,*1680,
1788191375.2077324,mouse_move,,*2965,*1693,
1788191375.2362041,mouse_move,,*2965,*1704,
1788191375.2505424,mouse_move,,*2965,*1715,
1788191375.273992,mouse_move,,*2965,*1726,
1788191375.2928855,mouse_move,,*2965,*1738,
1788191375.31128,mouse_move,,*2965,*1750,
1788191375.3277218,mouse_move,,*2965,*1761,
1788191375.353241,mouse_move,,*2965,*1772,
1788191375.3703706,mouse_move,,*2965,*1784,
1788191375.389576,mouse_move,,*2965,*1795,
1788191375.4040673,mouse_move,,*2965,*1808,
1788191375.4273105,mouse_move,,*2965,*1821,
1788191375.4452004,mouse_move,,*2965,*1834,
1788191375.4627385,mouse_move,,*2965,*1846,
1788191375.4814136,mouse_move,,*2965,*1860,
1788191375.4953432,mouse_move,,*2965,*1861,
1788191375.5187094,mouse_move,,*2960,*1849,
1788191375.5415137,mouse_move,,*2955,*1839,
1788191375.8471065,mouse_move,,*2950,*1828,
1788191375.866066,mouse_move,,*2944,*1819,
1788191375.8816698,mouse_move,,*2935,*1809,
1788191375.908306,mouse_move,,*2926,*1801,
1788191375.9263198,mouse_move,,*2918,*1794,
1788191375.9406838,mouse_move,,*2908,*1788,
1788191375.963501,mouse_move,,*2897,*1782,
1788191375.9779248,mouse_move,,*2888,*1776,
1788191376.0080423,mouse_move,,*2878,*1770,
1788191376.0243711,mouse_move,,*2866,*1764,
1788191376.0338345,mouse_move,,*2855,*1758,
1788191376.0544236,mouse_move,,*2843,*1750,
1788191376.07816,mouse_move,,*2831,*1744,
1788191376.1131928,mouse_move,,*2819,*1737,
1788191376.1313224,mouse_move,,*2807,*1731,
1788191376.148085,mouse_move,,*2796,*1720,
1788191376.1751351,mouse_move,,*2790,*1707,
1788191376.2035599,mouse_move,,*2787,*1691,
1788191376.2284956,mouse_move,,*2786,*1676,
1788191376.2462819,mouse_move,,*2790,*1661,
1788191376.270323,mouse_move,,*2796,*1647,
1788191376.2861977,mouse_move,,*2804,*1635,
1788191376.2965543,mouse_move,,*2814,*1624,
1788191376.3106437,mouse_move,,*2827,*1615,
1788191376.3254027,mouse_move,,*2839,*1608,
1788191376.337239,mouse_move,,*2854,*1602,
1788191376.3486538,mouse_move,,*2869,*1597,
1788191376.368639,mouse_move,,*2885,*1593,
1788191376.3930805,mouse_move,,*2902,*1594,
1788191376.415019,mouse_move,,*2918,*1596,
1788191376.4353898,mouse_move,,*2933,*1603,
1788191376.4511435,mouse_move,,*2948,*1610,
1788191376.4703043,mouse_move,,*2963,*1619,
1788191376.4928389,mouse_move,,*2965,*1629,
1788191376.5112436,mouse_move,,*2951,*1641,
1788191376.5247655,mouse_move,,*2940,*1653,
1788191376.5402257,mouse_move,,*2930,*1666,
1788191376.5670002,mouse_move,,*2919,*1679,
1788191376.5825813,mouse_move,,*2910,*1691,
1788191376.607455,mouse_move,,*2903,*1706,
1788191376.6225588,mouse_move,,*2898,*1722,
1788191376.638785,mouse_move,,*2893,*1739,
1788191376.656064,mouse_move,,*2889,*1756,
1788191376.6710851,mouse_move,,*2889,*1773,
1788191376.6810548,mouse_move,,*2889,*1789,
1788191376.6971543,mouse_move,,*2894,*1806,
1788191376.7168245,mouse_move,,*2904,*1822,
1788191376.7409654,mouse_move,,*2916,*1834,
1788191376.7670205,mouse_move,,*2930,*1843,
1788191376.7860353,mouse_move,,*2946,*1849,
1788191376.8033714,mouse_move,,*2963,*1850,
1788191376.8195982,mouse_move,,*2965,*1848,
1788191376.8352222,mouse_move,,*2948,*1855,
1788191376.857572,mouse_move,,*2937,*1861,
1788191376.8903525,mouse_move,,*2928,*1846,
1788191376.9076374,mouse_move,,*2919,*1831,
1788191376.9305015,mouse_move,,*2912,*1815,
1788191376.9474237,mouse_move,,*2905,*1800,
1788191376.9701092,mouse_move,,*2897,*1786,
1788191376.994457,mouse_move,,*2887,*1772,
1788191377.0091789,mouse_move,,*2875,*1760,
1788191377.024946,mouse_move,,*2863,*1749,
1788191377.0384073,mouse_move,,*2850,*1737,
1788191377.0582848,mouse_move,,*2837,*1727,
1788191377.0730975,mouse_move,,*2824,*1717,
1788191377.091765,mouse_move,,*2809,*1710,
1788191377.113383,mouse_move,,*2795,*1702,
1788191377.125195,mouse_move,,*2780,*1694,
1788191377.1380787,mouse_move,,*2764,*1688,
1788191377.1568265,mouse_move,,*2747,*1682,
