timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.3087952,mouse_click,up,*2786,*1454,Button.left
1788191373.4720392,mouse_move,,*2783,*1455,
1788191373.485938,mouse_move,,*2780,*1456,
1788191373.5085464,mouse_move,,*2778,*1456,
1788191373.5215042,mouse_move,,*2775,*1457,
1788191373.5419574,mouse_move,,*2772,*1458,
1788191373.5722063,mouse_move,,*2770,*1459,
1788191373.58807,mouse_move,,*2769,*1459,
1788191373.6007354,mouse_move,,*2766,*1459,
1788191373.6238575,mouse_move,,*2762,*1460,
1788191373.648688,mouse_move,,*2761,*1460,
1788191373.672029,mouse_move,,*2758,*1461,
1788191373.6984634,mouse_move,,*2756,*1461,
1788191373.7295673,mouse_move,,*2754,*1463,
1788191373.7413363,mouse_move,,*2751,*1462,
1788191373.7626812,mouse_move,,*2750,*1462,
1788191373.7790513,mouse_move,,*2748,*1462,
1788191373.794302,mouse_move,,*2746,*1462,
1788191373.811674,mouse_move,,*2744,*1462,
1788191373.8281674,mouse_move,,*2742,*1462,
1788191373.8467453,mouse_move,,*2740,*1464,
1788191373.875615,mouse_move,,*2739,*1466,
1788191373.8971803,mouse_move,,*2739,*1468,
1788191373.9311514,mouse_move,,*2741,*1471,
1788191373.9613569,mouse_move,,*2744,*1473,
1788191374.5706997,mouse_move,,*2746,*1473,
1788191374.5994372,mouse_move,,*2747,*1473,
1788191374.6205032,mouse_move,,*2749,*1474,
1788191374.647162,mouse_move,,*2751,*1474,
1788191374.6654532,mouse_move,,*2753,*1473,
1788191374.6794584,mouse_move,,*2754,*1470,
1788191374.6985126,mouse_move,,*2755,*1469,
1788191374.718186,mouse_move,,*2756,*1468,
1788191374.7329001,mouse_move,,*2756,*1466,
1788191374.7568107,mouse_move,,*2756,*1463,
1788191374.7760673,mouse_move,,*2756,*1462,
1788191374.7901866,mouse_move,,*2756,*1460,
1788191374.8085394,mouse_move,,*2756,*1459,
1788191374.822108,mouse_move,,*2755,*1458,
1788191374.837322,mouse_move,,*2753,*1457,
1788191374.860334,mouse_move,,*2752,*1455,
1788191374.881765,mouse_move,,*2752,*1454,
1788191374.9077625,mouse_move,,*2752,*1453,
1788191374.92381,mouse_move,,*2750,*1452,
1788191374.943393,mouse_move,,*2749,*1451,
1788191374.9601398,mouse_move,,*2748,*1448,
1788191374.9794872,mouse_move,,*2745,*1448,
1788191374.9961295,mouse_move,,*2743,*1448,
1788191375.014925,mouse_move,,*2740,*1447,
1788191375.0334625,mouse_move,,*2739,*1446,
1788191375.05203,mouse_move,,*2738,*1445,
1788191375.0845444,mouse_move,,*2736,*1444,
1788191375.108599,mouse_move,,*2734,*1443,
1788191375.122067,mouse_move,,*2732,*1443,
1788191375.1518745,mouse_move,,*2730,*1443,
1788191375.1794505,mouse_move,,*2727,*1442,
1788191375.1891897,mouse_move,,*2725,*1442,
1788191375.210795,mouse_move,,*2723,*1441,
1788191375.2271845,mouse_move,,*2720,*1440,
1788191375.2546427,mouse_move,,*2719,*1440,
1788191375.2694268,mouse_move,,*2717,*1440,
1788191375.2847576,mouse_move,,*2714,*1440,
1788191375.3024728,mouse_move,,*2712,*1440,
1788191375.320601,mouse_move,,*2709,*1439,
1788191375.3588948,mouse_move,,*2707,*1438,
1788191375.3825185,mouse_move,,*2703,*1438,
1788191375.4051015,mouse_move,,*2700,*1437,
1788191375.4253888,mouse_move,,*2699,*1435,
1788191375.4426882,mouse_move,,*2697,*1436,
1788191375.4651628,mouse_move,,*2695,*1435,
1788191375.4864814,mouse_move,,*2692,*1434,
1788191375.5027964,mouse_move,,*2689,*1433,
1788191375.5210264,mouse_move,,*2686,*1432,
1788191375.533989,mouse_move,,*2683,*1432,
1788191375.570204,mouse_move,,*2680,*1431,
1788191375.5911152,mouse_move,,*2677,*1430,
1788191375.6085024,mouse_move,,*2675,*1429,
1788191375.637255,mouse_move,,*2671,*1427,
1788191375.6526887,mouse_move,,*2668,*1426,
1788191375.673799,mouse_move,,*2666,*1425,
