timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.2932796,mouse_click,up,*2844,*1642,Button.left
1788191374.1222575,mouse_move,,*2840,*1648,
1788191374.132227,mouse_move,,*2838,*1656,
1788191374.142461,mouse_move,,*2841,*1661,
1788191374.1651006,mouse_move,,*2846,*1664,
1788191374.1795235,mouse_move,,*2853,*1667,
1788191374.1934786,mouse_move,,*2859,*1668,
1788191374.2097309,mouse_move,,*2865,*1665,
1788191374.2403677,mouse_move,,*2870,*1662,
1788191374.2536073,mouse_move,,*2873,*1659,
1788191374.2688441,mouse_move,,*2876,*1654,
1788191374.2790277,mouse_move,,*2878,*1650,
1788191374.289251,mouse_move,,*2880,*1644,
1788191374.3040006,mouse_move,,*2880,*1639,
1788191374.3175697,mouse_move,,*2881,*1634,
1788191374.336901,mouse_move,,*2881,*1629,
1788191374.3583822,mouse_move,,*2879,*1624,
1788191374.3669825,mouse_move,,*2878,*1620,
1788191374.374152,mouse_move,,*2877,*1617,
1788191374.3840833,mouse_move,,*2875,*1612,
1788191374.3993163,mouse_move,,*2873,*1610,
1788191374.4135795,mouse_move,,*2871,*1607,
1788191374.4231718,mouse_move,,*2868,*1605,
1788191374.4363153,mouse_move,,*2866,*1604,
1788191374.4487495,mouse_move,,*2865,*1602,
1788191374.4640837,mouse_move,,*2862,*1601,
1788191374.4758515,mouse_move,,*2860,*1599,
1788191374.482217,mouse_move,,*2858,*1598,
1788191374.502276,mouse_move,,*2855,*1596,
1788191374.5218768,mouse_move,,*2853,*1595,
1788191374.5363104,mouse_move,,*2851,*1594,
1788191374.5451574,mouse_move,,*2848,*1593,
1788191374.5577261,mouse_move,,*2846,*1593,
1788191374.5807812,mouse_move,,*2844,*1592,
1788191374.5934834,mouse_move,,*2841,*1591,
1788191374.606634,mouse_move,,*2839,*1590,
1788191374.6181264,mouse_move,,*2837,*1588,
1788191374.7790632,mouse_move,,*2835,*1587,
