timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192411.0007565,mouse_click,up,*2928,*1318,Button.left
1788192411.5927687,mouse_move,,*2922,*1319,
1788192411.6030962,mouse_move,,*2914,*1320,
1788192411.6097353,mouse_move,,*2906,*1321,
1788192411.6165824,mouse_move,,*2900,*1323,
1788192411.6260622,mouse_move,,*2894,*1324,
1788192411.6332524,mouse_move,,*2888,*1325,
1788192411.6416478,mouse_move,,*2882,*1327,
1788192411.654994,mouse_move,,*2875,*1329,
1788192411.664433,mouse_move,,*2868,*1330,
1788192411.6735914,mouse_move,,*2864,*1335,
1788192411.6829717,mouse_move,,*2860,*1341,
1788192411.6975856,mouse_move,,*2861,*1347,
1788192411.7081172,mouse_move,,*2863,*1354,
1788192411.7169487,mouse_move,,*2870,*1359,
1788192411.7304103,mouse_move,,*2876,*1362,
1788192411.7362416,mouse_move,,*2882,*1363,
1788192411.7415464,mouse_move,,*2889,*1360,
1788192411.7504497,mouse_move,,*2895,*1357,
1788192411.7570751,mouse_move,,*2899,*1352,
1788192411.7675664,mouse_move,,*2904,*1345,
1788192411.7744367,mouse_move,,*2906,*1338,
1788192411.7809985,mouse_move,,*2907,*1332,
1788192411.7980843,mouse_move,,*2907,*1326,
1788192411.810672,mouse_move,,*2906,*1320,
1788192411.8201389,mouse_move,,*2905,*1314,
1788192411.8315978,mouse_move,,*2903,*1308,
1788192411.8396795,mouse_move,,*2900,*1302,
1788192411.8511889,mouse_move,,*2898,*1296,
1788192411.8589668,mouse_move,,*2894,*1291,
1788192411.8701971,mouse_move,,*2890,*1286,
1788192411.8782887,mouse_move,,*2885,*1282,
1788192411.8842111,mouse_move,,*2880,*1278,
1788192411.8919272,mouse_move,,*2874,*1273,
1788192411.9007351,mouse_move,,*2868,*1269,
1788192411.9141467,mouse_move,,*2861,*1265,
1788192411.9247713,mouse_move,,*2855,*1261,
1788192411.9373589,mouse_move,,*2848,*1258,
1788192412.0832293,mouse_move,,*2841,*1255,
1788192412.0966125,mouse_move,,*2834,*1251,
1788192412.1021738,mouse_move,,*2825,*1248,
1788192412.1092541,mouse_move,,*2819,*1246,
1788192412.1214707,mouse_move,,*2811,*1245,
1788192412.1340251,mouse_move,,*2803,*1244,
1788192412.146739,mouse_move,,*2795,*1241,
1788192412.1593571,mouse_move,,*2785,*1237,
1788192412.1712677,mouse_move,,*2779,*1235,
1788192412.176796,mouse_move,,*2771,*1232,
1788192412.1886516,mouse_move,,*2762,*1229,
1788192412.1970327,mouse_move,,*2754,*1226,
1788192412.7675178,mouse_move,,*2745,*1223,
1788192412.7718201,mouse_move,,*2737,*1219,
1788192412.7775745,mouse_move,,*2730,*1217,
1788192412.7888892,mouse_move,,*2721,*1213,
1788192412.7960968,mouse_move,,*2713,*1209,
1788192412.8027844,mouse_move,,*2704,*1206,
1788192413.4794409,mouse_move,,*2696,*1202,
1788192413.490356,mouse_move,,*2689,*1199,
