timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192448.5132253,mouse_click,up,*2940,*1484,Button.left
1788192448.6044879,mouse_move,,*2934,*1487,
1788192448.6205349,mouse_move,,*2929,*1491,
1788192448.6384122,mouse_move,,*2929,*1496,
1788192448.6549101,mouse_move,,*2930,*1501,
1788192448.6804757,mouse_move,,*2934,*1502,
1788192448.6938603,mouse_move,,*2934,*1505,
1788192448.7178335,mouse_move,,*2932,*1508,
1788192448.7331481,mouse_move,,*2934,*1512,
1788192448.7505808,mouse_move,,*2934,*1517,
1788192448.7738962,mouse_move,,*2934,*1522,
1788192448.7899716,mouse_move,,*2933,*1527,
1788192448.8082502,mouse_move,,*2934,*1531,
1788192448.8229663,mouse_move,,*2934,*1535,
1788192448.8395295,mouse_move,,*2934,*1537,
1788192448.856221,mouse_move,,*2935,*1541,
1788192448.8731387,mouse_move,,*2935,*1545,
1788192448.8952773,mouse_move,,*2935,*1548,
1788192448.9176645,mouse_move,,*2936,*1553,
1788192448.9288721,mouse_move,,*2936,*1555,
1788192448.943702,mouse_move,,*2935,*1557,
1788192448.9544964,mouse_move,,*2937,*1560,
1788192448.9669464,mouse_move,,*2936,*1563,
1788192448.9761448,mouse_move,,*2936,*1567,
1788192449.0001569,mouse_move,,*2937,*1568,
1788192449.0203645,mouse_move,,*2937,*1571,
1788192449.0320742,mouse_move,,*2938,*1577,
1788192449.0610328,mouse_move,,*2939,*1579,
1788192449.0808671,mouse_move,,*2938,*1584,
1788192449.0957243,mouse_move,,*2939,*1590,
1788192449.1063426,mouse_move,,*2939,*1595,
1788192449.1247134,mouse_move,,*2941,*1600,
1788192449.1616883,mouse_move,,*2941,*1607,
1788192449.1777728,mouse_move,,*2942,*1614,
1788192449.1947243,mouse_move,,*2941,*1621,
1788192449.2216401,mouse_move,,*2941,*1627,
1788192449.2465427,mouse_move,,*2938,*1636,
1788192449.2554829,mouse_move,,*2940,*1643,
1788192449.267777,mouse_move,,*2939,*1649,
1788192449.2827592,mouse_move,,*2939,*1656,
1788192449.298275,mouse_move,,*2938,*1665,
1788192449.3189349,mouse_move,,*2937,*1672,
1788192449.3356946,mouse_move,,*2934,*1680,
1788192449.3552642,mouse_move,,*2935,*1689,
1788192449.372329,mouse_move,,*2933,*1699,
1788192449.3884795,mouse_move,,*2933,*1706,
1788192449.4039388,mouse_move,,*2933,*1715,
1788192449.4124649,mouse_move,,*2937,*1719,
1788192449.4289088,mouse_move,,*2934,*1729,
1788192450.0193458,mouse_move,,*2932,*1743,
1788192450.0330534,mouse_move,,*2931,*1752,
1788192450.0532801,mouse_move,,*2931,*1760,
1788192450.0729058,mouse_move,,*2931,*1760,
1788192450.086796,mouse_move,,*2933,*1760,
1788192450.1019564,mouse_move,,*2934,*1760,
1788192450.1183436,mouse_move,,*2933,*1760,
1788192450.1466138,mouse_move,,*2933,*1760,
1788192450.1594894,mouse_move,,*2928,*1752,
1788192450.1816146,mouse_move,,*2921,*1743,
1788192450.1948085,mouse_move,,*2910,*1738,
1788192450.2124608,mouse_move,,*2901,*1730,
1788192450.2250922,mouse_move,,*2894,*1721,
1788192450.2397885,mouse_move,,*2886,*1714,
1788192450.6594708,mouse_move,,*2877,*1706,
1788192450.6829288,mouse_move,,*2871,*1700,
1788192450.6968603,mouse_move,,*2862,*1693,
1788192450.7117839,mouse_move,,*2856,*1685,
1788192450.7208405,mouse_move,,*2852,*1675,
1788192450.7315042,mouse_move,,*2847,*1665,
1788192450.7507594,mouse_move,,*2841,*1659,
1788192450.7677681,mouse_move,,*2832,*1650,
1788192450.7913344,mouse_move,,*2823,*1642,
1788192450.800647,mouse_move,,*2817,*1635,
1788192450.8184578,mouse_move,,*2811,*1624,
1788192450.8301303,mouse_move,,*2801,*1615,
1788192450.8510134,mouse_move,,*2798,*1608,
1788192450.8790121,mouse_move,,*2791,*1601,
1788192450.8958209,mouse_move,,*2781,*1593,
1788192450.9171362,mouse_move,,*2772,*1589,
1788192450.9372907,mouse_move,,*2766,*1582,
1788192450.9496994,mouse_move,,*2756,*1578,
1788192450.9658844,mouse_move,,*2747,*1575,
1788192450.9791613,mouse_move,,*2738,*1570,
1788192450.9956319,mouse_move,,*2732,*1567,
1788192451.0074461,mouse_move,,*2726,*1565,
1788192451.0289302,mouse_move,,*2719,*1562,
1788192451.0457914,mouse_move,,*2712,*1559,
1788192451.0602715,mouse_move,,*2703,*1557,
1788192451.0734661,mouse_move,,*2694,*1555,
1788192451.104543,mouse_move,,*2684,*1555,
1788192451.1292806,mouse_move,,*2674,*1553,
1788192451.1432633,mouse_move,,*2665,*1554,
1788192451.1558719,mouse_move,,*2657,*1553,
1788192451.1760924,mouse_move,,*2649,*1554,
1788192451.1905186,mouse_move,,*2645,*1554,
1788192451.1990714,mouse_move,,*2636,*1555,
1788192451.2112296,mouse_move,,*2627,*1556,
1788192451.2397568,mouse_move,,*2620,*1556,
1788192451.2506266,mouse_move,,*2614,*1558,
1788192451.2694426,mouse_move,,*2607,*1559,
1788192451.2834547,mouse_move,,*2603,*1562,
1788192451.2956827,mouse_move,,*2595,*1561,
1788192451.32183,mouse_move,,*2588,*1561,
1788192451.3278182,mouse_move,,*2583,*1562,
1788192451.3399684,mouse_move,,*2577,*1563,
1788192451.3550196,mouse_move,,*2571,*1561,
1788192451.3733699,mouse_move,,*2565,*1562,
1788192451.3891985,mouse_move,,*2558,*1562,
1788192451.3975043,mouse_move,,*2553,*1561,
1788192451.410408,mouse_move,,*2548,*1562,
1788192451.4242089,mouse_move,,*2545,*1561,
1788192451.4412949,mouse_move,,*2542,*1559,
1788192451.456002,mouse_move,,*2537,*1556,
1788192451.4686513,mouse_move,,*2536,*1552,
1788192451.4881158,mouse_move,,*2533,*1550,
1788192452.8531554,mouse_click,down,*2533,*1550,Button.left
1788192452.9144294,mouse_click,up,*2533,*1550,Button.left
1788192452.9372733,mouse_move,,*2532,*1547,
1788192452.9512339,mouse_move,,*2532,*1541,
1788192452.9605682,mouse_move,,*2529,*1533,
1788192452.9787526,mouse_move,,*2526,*1526,
1788192452.9936557,mouse_move,,*2526,*1522,
1788192453.0054717,mouse_move,,*2525,*1515,
1788192453.0193038,mouse_move,,*2522,*1507,
1788192453.0364842,mouse_move,,*2521,*1500,
1788192453.0532422,mouse_move,,*2521,*1494,
1788192453.8198614,mouse_move,,*2519,*1490,
1788192453.8356583,mouse_move,,*2517,*1485,
1788192453.8555844,mouse_move,,*2516,*1478,
