timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192522.3843124,mouse_click,up,*2965,*1704,Button.left
1788192524.7085857,mouse_move,,*2963,*1709,
1788192524.7510667,mouse_move,,*2964,*1715,
1788192524.7698977,mouse_move,,*2965,*1719,
1788192524.7958827,mouse_move,,*2965,*1724,
1788192524.8403382,mouse_move,,*2965,*1730,
1788192524.8484087,mouse_move,,*2964,*1736,
1788192524.8694458,mouse_move,,*2962,*1741,
1788192524.8951302,mouse_move,,*2959,*1747,
1788192524.9205804,mouse_move,,*2958,*1754,
1788192524.9627962,mouse_move,,*2955,*1760,
1788192524.9884691,mouse_move,,*2953,*1760,
1788192525.0174379,mouse_move,,*2949,*1760,
1788192525.0325341,mouse_move,,*2946,*1760,
1788192525.0572512,mouse_move,,*2941,*1760,
1788192525.0786891,mouse_move,,*2937,*1760,
1788192525.1058688,mouse_move,,*2932,*1760,
1788192525.122478,mouse_move,,*2929,*1760,
1788192525.1426413,mouse_move,,*2924,*1760,
1788192525.1604369,mouse_move,,*2919,*1760,
1788192525.1967075,mouse_move,,*2914,*1760,
1788192525.2297289,mouse_move,,*2910,*1760,
1788192525.2526627,mouse_move,,*2905,*1760,
1788192525.2885094,mouse_move,,*2904,*1760,
1788192525.3073843,mouse_move,,*2903,*1760,
1788192525.3369875,mouse_move,,*2905,*1760,
1788192525.3646131,mouse_move,,*2909,*1760,
1788192525.3795884,mouse_move,,*2913,*1760,
1788192525.4019802,mouse_move,,*2919,*1760,
1788192525.424614,mouse_move,,*2926,*1760,
1788192525.4454803,mouse_move,,*2932,*1759,
1788192525.4739313,mouse_move,,*2937,*1758,
1788192525.4982367,mouse_move,,*2943,*1754,
1788192525.5191777,mouse_move,,*2947,*1751,
1788192525.5437081,mouse_move,,*2951,*1747,
1788192525.5692391,mouse_move,,*2953,*1740,
1788192525.591871,mouse_move,,*2955,*1735,
1788192525.6203923,mouse_move,,*2955,*1730,
1788192525.6316061,mouse_move,,*2954,*1724,
1788192525.6629162,mouse_move,,*2953,*1718,
1788192525.6795645,mouse_move,,*2951,*1713,
1788192525.6944399,mouse_move,,*2948,*1709,
1788192525.7258141,mouse_move,,*2944,*1704,
1788192525.7597549,mouse_move,,*2940,*1701,
1788192525.7749598,mouse_move,,*2937,*1699,
1788192525.8014002,mouse_move,,*2931,*1695,
1788192525.8362286,mouse_move,,*2927,*1694,
1788192525.8624973,mouse_move,,*2923,*1690,
1788192525.9021876,mouse_move,,*2918,*1689,
1788192525.9261031,mouse_move,,*2913,*1687,
1788192525.9463968,mouse_move,,*2909,*1687,
1788192525.9630404,mouse_move,,*2904,*1686,
1788192525.9872835,mouse_move,,*2900,*1685,
1788192526.0157795,mouse_move,,*2896,*1684,
1788192526.0499175,mouse_move,,*2891,*1684,
1788192526.0785348,mouse_move,,*2886,*1683,
1788192526.0962882,mouse_move,,*2882,*1682,
1788192526.1205573,mouse_move,,*2878,*1681,
1788192526.1391585,mouse_move,,*2874,*1680,
1788192526.1584382,mouse_move,,*2869,*1679,
1788192526.1735806,mouse_move,,*2865,*1677,
1788192526.1962514,mouse_move,,*2862,*1675,
1788192526.2142396,mouse_move,,*2858,*1672,
1788192526.2403212,mouse_move,,*2855,*1670,
1788192526.264046,mouse_move,,*2851,*1668,
1788192526.2961581,mouse_move,,*2849,*1665,
1788192526.3266983,mouse_move,,*2845,*1663,
1788192526.3629727,mouse_move,,*2843,*1659,
1788192526.3903172,mouse_move,,*2839,*1655,
1788192526.4258397,mouse_move,,*2837,*1653,
1788192526.4473777,mouse_move,,*2834,*1650,
1788192526.466826,mouse_move,,*2832,*1646,
1788192526.4876845,mouse_move,,*2831,*1643,
1788192526.5174391,mouse_move,,*2828,*1642,
1788192526.5376654,mouse_move,,*2826,*1638,
1788192526.5628519,mouse_move,,*2824,*1634,
1788192526.5926099,mouse_move,,*2820,*1632,
1788192526.6111317,mouse_move,,*2816,*1628,
1788192526.6386745,mouse_move,,*2814,*1625,
1788192526.6601431,mouse_move,,*2811,*1622,
1788192526.7098095,mouse_move,,*2807,*1621,
1788192526.7338719,mouse_move,,*2804,*1620,
