timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192559.9082797,mouse_click,up,*2863,*1630,Button.left
1788192559.9112797,mouse_move,,*2859,*1635,
1788192559.9234488,mouse_move,,*2858,*1643,
1788192559.9338679,mouse_move,,*2860,*1648,
1788192559.959713,mouse_move,,*2865,*1652,
1788192559.9756463,mouse_move,,*2872,*1655,
1788192559.9893649,mouse_move,,*2878,*1656,
1788192560.0105407,mouse_move,,*2885,*1653,
1788192560.0402145,mouse_move,,*2889,*1649,
1788192560.0510716,mouse_move,,*2892,*1646,
1788192560.0655515,mouse_move,,*2895,*1641,
1788192560.0752118,mouse_move,,*2897,*1638,
1788192560.0865276,mouse_move,,*2898,*1631,
1788192560.1022847,mouse_move,,*2898,*1626,
1788192560.1137388,mouse_move,,*2898,*1621,
1788192560.1329825,mouse_move,,*2898,*1616,
1788192560.1566997,mouse_move,,*2896,*1612,
1788192560.1659636,mouse_move,,*2894,*1607,
1788192560.174849,mouse_move,,*2893,*1604,
1788192560.1866126,mouse_move,,*2891,*1600,
1788192560.1994357,mouse_move,,*2889,*1598,
1788192560.2136617,mouse_move,,*2886,*1595,
1788192560.2247605,mouse_move,,*2883,*1594,
1788192560.2413619,mouse_move,,*2881,*1593,
1788192560.2536676,mouse_move,,*2880,*1591,
1788192560.2667971,mouse_move,,*2877,*1590,
1788192560.2782912,mouse_move,,*2875,*1589,
1788192560.2845337,mouse_move,,*2873,*1587,
1788192560.3057065,mouse_move,,*2871,*1585,
1788192560.3265224,mouse_move,,*2869,*1584,
1788192560.3419297,mouse_move,,*2866,*1583,
1788192560.3512869,mouse_move,,*2863,*1582,
1788192560.3643341,mouse_move,,*2862,*1582,
1788192560.3889272,mouse_move,,*2860,*1581,
1788192560.401993,mouse_move,,*2857,*1579,
1788192560.4162354,mouse_move,,*2855,*1578,
1788192560.430069,mouse_move,,*2853,*1577,
1788192560.5950022,mouse_move,,*2851,*1575,
1788192560.604677,mouse_move,,*2850,*1575,
1788192560.6242828,mouse_move,,*2847,*1574,
1788192560.6413636,mouse_move,,*2846,*1574,
1788192560.6556432,mouse_move,,*2844,*1573,
1788192560.6689248,mouse_move,,*2842,*1573,
1788192560.6868532,mouse_move,,*2841,*1573,
1788192560.7025995,mouse_move,,*2839,*1572,
1788192560.7259941,mouse_move,,*2837,*1572,
1788192560.7378466,mouse_move,,*2836,*1570,
1788192560.7500272,mouse_move,,*2834,*1569,
1788192560.7630637,mouse_move,,*2833,*1570,
1788192560.780309,mouse_move,,*2832,*1570,
1788192560.7900832,mouse_move,,*2830,*1570,
1788192560.8084309,mouse_move,,*2829,*1570,
1788192560.8260076,mouse_move,,*2827,*1569,
1788192560.8424859,mouse_move,,*2826,*1569,
1788192560.8554497,mouse_move,,*2825,*1569,
1788192560.878675,mouse_move,,*2823,*1569,
1788192560.8954213,mouse_move,,*2822,*1569,
1788192560.9043665,mouse_move,,*2820,*1569,
1788192560.9328928,mouse_move,,*2819,*1569,
1788192560.9497585,mouse_move,,*2817,*1569,
1788192560.9744592,mouse_move,,*2815,*1569,
1788192560.9886174,mouse_move,,*2814,*1569,
1788192561.0093954,mouse_move,,*2812,*1568,
1788192561.0214667,mouse_move,,*2811,*1567,
1788192561.0418253,mouse_move,,*2810,*1567,
1788192561.0563691,mouse_move,,*2808,*1568,
1788192561.0988228,mouse_move,,*2806,*1567,
1788192561.1115768,mouse_move,,*2803,*1568,
1788192561.1267998,mouse_move,,*2802,*1565,
1788192561.1481576,mouse_move,,*2799,*1566,
1788192561.1682591,mouse_move,,*2798,*1565,
1788192561.1799872,mouse_move,,*2795,*1565,
1788192561.1948936,mouse_move,,*2793,*1565,
1788192561.2133799,mouse_move,,*2791,*1563,
1788192561.2329452,mouse_move,,*2790,*1563,
1788192561.2459791,mouse_move,,*2789,*1563,
1788192561.6843028,mouse_move,,*2786,*1562,
1788192561.6949623,mouse_move,,*2783,*1562,
1788192561.7128134,mouse_move,,*2782,*1561,
1788192561.7291784,mouse_move,,*2781,*1560,
1788192561.7489223,mouse_move,,*2779,*1560,
1788192561.760802,mouse_move,,*2779,*1559,
1788192561.7827113,mouse_move,,*2778,*1559,
1788192561.7980139,mouse_move,,*2776,*1558,
1788192561.8261459,mouse_move,,*2776,*1558,
1788192561.8451023,mouse_move,,*2774,*1558,
1788192561.8604476,mouse_move,,*2773,*1558,
1788192561.8780928,mouse_move,,*2771,*1557,
1788192561.89327,mouse_move,,*2770,*1558,
1788192561.9070611,mouse_move,,*2769,*1557,
1788192561.9243319,mouse_move,,*2767,*1556,
1788192561.940325,mouse_move,,*2766,*1555,
1788192561.9605892,mouse_move,,*2764,*1553,
1788192561.9743433,mouse_move,,*2764,*1554,
1788192562.0000925,mouse_move,,*2763,*1554,
1788192562.0164716,mouse_move,,*2760,*1553,
1788192562.0402694,mouse_move,,*2757,*1551,
1788192562.0538254,mouse_move,,*2755,*1551,
1788192562.0660048,mouse_move,,*2751,*1552,
1788192562.0839012,mouse_move,,*2748,*1552,
1788192562.1001787,mouse_move,,*2745,*1553,
1788192562.1263025,mouse_move,,*2743,*1550,
1788192562.1450338,mouse_move,,*2740,*1549,
1788192562.1626115,mouse_move,,*2736,*1549,
1788192562.1860406,mouse_move,,*2734,*1548,
1788192562.2029049,mouse_move,,*2732,*1548,
1788192562.2265997,mouse_move,,*2727,*1547,
1788192562.2428713,mouse_move,,*2724,*1546,
1788192562.6852822,mouse_move,,*2721,*1545,
1788192562.7054534,mouse_move,,*2719,*1545,
1788192562.7208512,mouse_move,,*2718,*1544,
1788192562.7337787,mouse_move,,*2715,*1544,
1788192562.746835,mouse_move,,*2713,*1543,
1788192563.0885527,mouse_move,,*2711,*1544,
1788192563.0979862,mouse_move,,*2709,*1544,
1788192563.7943854,mouse_click,down,*2709,*1544,Button.left
1788192563.8409276,mouse_click,up,*2709,*1544,Button.left
1788192563.8595743,mouse_move,,*2707,*1544,
1788192563.8704095,mouse_move,,*2705,*1543,
1788192563.8786304,mouse_move,,*2703,*1543,
1788192563.8925562,mouse_move,,*2702,*1543,
1788192563.9120958,mouse_move,,*2700,*1543,
1788192563.9286871,mouse_move,,*2695,*1541,
1788192563.9390512,mouse_move,,*2694,*1542,
1788192563.9515369,mouse_move,,*2692,*1541,
1788192563.9643505,mouse_move,,*2691,*1540,
1788192563.9811764,mouse_move,,*2690,*1541,
1788192564.0032287,mouse_move,,*2689,*1540,
1788192564.0149324,mouse_move,,*2688,*1539,
1788192564.6244323,mouse_move,,*2687,*1539,
1788192564.6399264,mouse_move,,*2686,*1537,
1788192564.6526198,mouse_move,,*2684,*1536,
1788192564.6730945,mouse_move,,*2683,*1535,
1788192564.6848431,mouse_move,,*2682,*1535,
1788192564.726805,mouse_move,,*2681,*1534,
1788192564.7426956,mouse_move,,*2680,*1533,
1788192564.7626812,mouse_move,,*2677,*1531,
1788192564.7748609,mouse_move,,*2674,*1529,
1788192564.7896795,mouse_move,,*2671,*1526,
1788192564.8098242,mouse_move,,*2667,*1523,
1788192564.8245432,mouse_move,,*2664,*1520,
1788192564.8372769,mouse_move,,*2662,*1517,
1788192564.8553085,mouse_move,,*2660,*1514,
1788192564.8719594,mouse_move,,*2657,*1511,
1788192564.8810265,mouse_move,,*2655,*1508,
1788192564.8962812,mouse_move,,*2655,*1505,
1788192564.9070356,mouse_move,,*2658,*1503,
1788192564.9188509,mouse_move,,*2660,*1500,
1788192564.9428394,mouse_move,,*2661,*1498,
1788192564.9595921,mouse_move,,*2664,*1499,
1788192564.9757974,mouse_move,,*2667,*1499,
1788192564.9962862,mouse_move,,*2670,*1500,
1788192565.0079401,mouse_move,,*2672,*1501,
1788192565.0193636,mouse_move,,*2675,*1503,
1788192565.0440357,mouse_move,,*2676,*1505,
1788192565.0600908,mouse_move,,*2679,*1508,
1788192565.0770974,mouse_move,,*2679,*1512,
1788192565.0930402,mouse_move,,*2679,*1514,
1788192565.8143578,mouse_move,,*2678,*1517,
1788192565.8358603,mouse_move,,*2678,*1520,
1788192565.8481224,mouse_move,,*2678,*1524,
1788192565.8586168,mouse_move,,*2677,*1526,
1788192565.8711245,mouse_move,,*2676,*1529,
1788192565.8792107,mouse_move,,*2675,*1530,
1788192565.8975322,mouse_move,,*2674,*1531,
1788192565.926281,mouse_move,,*2673,*1531,
1788192565.9476583,mouse_move,,*2672,*1532,
1788192565.9629474,mouse_move,,*2671,*1532,
1788192565.9750435,mouse_move,,*2670,*1532,
1788192565.9901671,mouse_move,,*2670,*1533,
1788192566.009557,mouse_move,,*2669,*1534,
1788192566.0250123,mouse_move,,*2668,*1534,
1788192566.0376503,mouse_move,,*2667,*1534,
1788192566.0530248,mouse_move,,*2666,*1535,
1788192566.0769658,mouse_move,,*2664,*1536,
1788192566.087929,mouse_move,,*2664,*1538,
1788192566.1027296,mouse_move,,*2664,*1539,
1788192566.1173563,mouse_move,,*2662,*1539,
1788192566.1336715,mouse_move,,*2660,*1540,
1788192566.1514187,mouse_move,,*2658,*1540,
1788192566.1712248,mouse_move,,*2658,*1542,
1788192566.1839216,mouse_move,,*2657,*1543,
1788192566.2044892,mouse_move,,*2657,*1546,
1788192566.225548,mouse_move,,*2661,*1549,
1788192566.2432871,mouse_move,,*2661,*1551,
1788192566.2623372,mouse_move,,*2664,*1551,
1788192566.2861114,mouse_move,,*2668,*1551,
1788192566.3105776,mouse_move,,*2670,*1551,
1788192566.3268418,mouse_move,,*2672,*1550,
1788192566.3454876,mouse_move,,*2674,*1549,
1788192566.365536,mouse_move,,*2676,*1550,
1788192566.3810146,mouse_move,,*2676,*1549,
1788192566.3996446,mouse_move,,*2677,*1547,
1788192566.4145153,mouse_move,,*2678,*1546,
1788192566.4329233,mouse_move,,*2679,*1543,
1788192566.4438698,mouse_move,,*2681,*1542,
1788192566.4634631,mouse_move,,*2680,*1540,
1788192566.4766505,mouse_move,,*2681,*1538,
1788192566.4981122,mouse_move,,*2682,*1536,
1788192566.5104663,mouse_move,,*2682,*1533,
1788192566.5204661,mouse_move,,*2683,*1529,
1788192566.5386026,mouse_move,,*2684,*1526,
1788192566.5542166,mouse_move,,*2683,*1522,
1788192566.5693231,mouse_move,,*2682,*1516,
1788192566.5967524,mouse_move,,*2680,*1511,
1788192566.6159039,mouse_move,,*2679,*1506,
1788192566.6275566,mouse_move,,*2677,*1500,
1788192566.6480055,mouse_move,,*2673,*1497,
1788192566.6627171,mouse_move,,*2672,*1492,
1788192567.1628759,mouse_move,,*2669,*1487,
1788192567.1740665,mouse_move,,*2667,*1481,
1788192567.1923611,mouse_move,,*2664,*1476,
1788192567.2097664,mouse_move,,*2661,*1473,
1788192567.2319949,mouse_move,,*2658,*1466,
1788192567.245826,mouse_move,,*2655,*1461,
1788192567.2594638,mouse_move,,*2651,*1457,
1788192567.2695086,mouse_move,,*2648,*1452,
1788192567.2824068,mouse_move,,*2645,*1448,
1788192567.2960541,mouse_move,,*2642,*1444,
1788192567.3143778,mouse_move,,*2640,*1440,
1788192567.3390412,mouse_move,,*2637,*1436,
1788192567.3591461,mouse_move,,*2633,*1432,
1788192567.3721244,mouse_move,,*2631,*1428,
1788192567.389585,mouse_move,,*2629,*1424,
1788192567.4019597,mouse_move,,*2626,*1421,
1788192567.4172399,mouse_move,,*2624,*1419,
1788192567.429945,mouse_move,,*2622,*1416,
1788192567.4527915,mouse_move,,*2620,*1412,
1788192567.4639857,mouse_move,,*2616,*1409,
1788192567.4921832,mouse_move,,*2612,*1406,
1788192567.5259435,mouse_move,,*2607,*1404,
1788192567.5476902,mouse_move,,*2604,*1400,
1788192567.955029,mouse_move,,*2604,*1397,
1788192567.9704118,mouse_move,,*2601,*1395,
1788192567.9966364,mouse_move,,*2597,*1392,
1788192568.0226996,mouse_move,,*2595,*1389,
1788192568.0349317,mouse_move,,*2592,*1386,
1788192568.0480912,mouse_move,,*2587,*1382,
1788192568.0632896,mouse_move,,*2582,*1378,
1788192568.098243,mouse_click,down,*2582,*1378,Button.left
1788192568.1881621,mouse_click,up,*2582,*1378,Button.left
1788192568.210073,mouse_move,,*2578,*1374,
1788192568.2311835,mouse_move,,*2575,*1371,
1788192568.2491159,mouse_move,,*2572,*1367,
1788192568.2586625,mouse_move,,*2567,*1363,
1788192568.2797499,mouse_move,,*2563,*1358,
