timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192634.3114448,mouse_click,up,*2965,*1091,Button.left
1788192634.7924998,mouse_move,,*2965,*1089,
1788192634.8257537,mouse_move,,*2959,*1088,
1788192634.8585997,mouse_move,,*2955,*1086,
1788192634.8743529,mouse_move,,*2951,*1086,
1788192634.9106803,mouse_move,,*2946,*1086,
1788192634.9359279,mouse_move,,*2942,*1086,
1788192634.9572356,mouse_move,,*2938,*1085,
1788192634.976119,mouse_move,,*2934,*1085,
1788192635.0042536,mouse_move,,*2929,*1084,
1788192635.0237129,mouse_move,,*2925,*1085,
1788192635.0546663,mouse_move,,*2922,*1085,
1788192635.0836201,mouse_move,,*2918,*1085,
1788192635.1092434,mouse_move,,*2916,*1085,
1788192635.1527512,mouse_move,,*2912,*1086,
1788192635.1791706,mouse_move,,*2909,*1086,
1788192635.2075827,mouse_move,,*2905,*1086,
1788192635.2184739,mouse_move,,*2901,*1086,
1788192635.2450209,mouse_move,,*2896,*1087,
1788192635.2652571,mouse_move,,*2892,*1088,
1788192635.2998648,mouse_move,,*2889,*1088,
1788192635.3258817,mouse_move,,*2884,*1088,
1788192635.3579791,mouse_move,,*2879,*1089,
1788192635.3837342,mouse_move,,*2875,*1089,
1788192635.4041862,mouse_move,,*2871,*1090,
1788192635.425297,mouse_move,,*2867,*1091,
1788192635.4537437,mouse_move,,*2863,*1094,
1788192635.4827149,mouse_move,,*2861,*1096,
1788192635.5070078,mouse_move,,*2859,*1098,
1788192635.5257463,mouse_move,,*2855,*1102,
1788192635.5421841,mouse_move,,*2851,*1105,
1788192635.5608962,mouse_move,,*2846,*1107,
1788192635.5882328,mouse_move,,*2844,*1112,
1788192635.6258719,mouse_move,,*2844,*1116,
1788192635.644917,mouse_move,,*2846,*1122,
1788192635.6626792,mouse_move,,*2850,*1126,
1788192635.6777489,mouse_move,,*2855,*1129,
1788192635.6949642,mouse_move,,*2862,*1131,
1788192635.7175429,mouse_move,,*2869,*1130,
1788192635.7449729,mouse_move,,*2875,*1129,
1788192635.759896,mouse_move,,*2881,*1125,
1788192635.7912557,mouse_move,,*2886,*1120,
1788192635.813663,mouse_move,,*2890,*1115,
1788192635.8489385,mouse_move,,*2892,*1107,
1788192635.8811564,mouse_move,,*2893,*1100,
1788192635.8952932,mouse_move,,*2895,*1095,
1788192635.9393511,mouse_move,,*2894,*1088,
1788192635.9651158,mouse_move,,*2894,*1083,
1788192635.9885254,mouse_move,,*2895,*1077,
1788192636.0108273,mouse_move,,*2899,*1072,
1788192636.0374906,mouse_move,,*2901,*1067,
1788192636.0579286,mouse_move,,*2903,*1062,
1788192636.0935583,mouse_move,,*2904,*1056,
1788192636.1101933,mouse_move,,*2905,*1050,
1788192636.1357269,mouse_move,,*2904,*1044,
1788192636.1645565,mouse_move,,*2903,*1038,
1788192636.1991744,mouse_move,,*2902,*1033,
1788192636.2330046,mouse_move,,*2900,*1029,
1788192636.2588184,mouse_move,,*2898,*1025,
1788192636.2805781,mouse_move,,*2894,*1021,
1788192636.3070476,mouse_move,,*2891,*1017,
1788192636.3314104,mouse_move,,*2887,*1014,
1788192636.3570545,mouse_move,,*2883,*1011,
1788192636.4006984,mouse_move,,*2880,*1009,
1788192636.4270227,mouse_move,,*2877,*1006,
1788192636.4476085,mouse_move,,*2872,*1003,
1788192637.3034763,mouse_move,,*2868,*1001,
1788192637.3200283,mouse_move,,*2863,*999,
1788192637.3454053,mouse_move,,*2860,*997,
1788192637.3674948,mouse_move,,*2856,*997,
1788192637.3926513,mouse_move,,*2853,*996,
1788192637.4207873,mouse_move,,*2849,*995,
1788192637.449837,mouse_move,,*2845,*993,
1788192637.4736972,mouse_move,,*2841,*992,
1788192637.4974434,mouse_move,,*2837,*992,
1788192637.5240934,mouse_move,,*2833,*992,
1788192637.5482993,mouse_move,,*2828,*991,
1788192637.5810285,mouse_move,,*2824,*990,
1788192637.6082637,mouse_move,,*2819,*988,
1788192637.6581087,mouse_move,,*2814,*987,
1788192637.6852841,mouse_move,,*2810,*985,
1788192637.7081878,mouse_move,,*2806,*984,
1788192638.3103387,mouse_move,,*2802,*983,
1788192638.3519051,mouse_move,,*2798,*983,
1788192638.3730948,mouse_move,,*2793,*983,
1788192638.4043486,mouse_move,,*2788,*983,
1788192638.4191887,mouse_move,,*2784,*982,
1788192638.4471912,mouse_move,,*2780,*981,
1788192638.4874299,mouse_move,,*2776,*981,
1788192638.512543,mouse_move,,*2772,*980,
1788192638.5286868,mouse_move,,*2767,*980,
1788192638.545691,mouse_move,,*2763,*979,
1788192638.8770142,mouse_move,,*2759,*979,
1788192638.9102881,mouse_move,,*2755,*978,
1788192638.9306536,mouse_move,,*2751,*977,
1788192638.9590061,mouse_move,,*2747,*977,
1788192638.9882841,mouse_move,,*2744,*976,
1788192639.0166976,mouse_move,,*2740,*975,
1788192639.0418892,mouse_move,,*2737,*974,
1788192639.0708642,mouse_move,,*2733,*973,
1788192639.105114,mouse_move,,*2730,*971,
1788192639.1339211,mouse_move,,*2726,*971,
1788192639.1582003,mouse_move,,*2722,*970,
1788192639.1862912,mouse_move,,*2719,*969,
1788192639.2178631,mouse_move,,*2715,*968,
1788192639.2392735,mouse_move,,*2711,*967,
1788192639.2780833,mouse_move,,*2709,*965,
1788192639.3011169,mouse_move,,*2708,*961,
1788192639.326369,mouse_move,,*2709,*957,
1788192639.348244,mouse_move,,*2711,*953,
1788192639.3859854,mouse_move,,*2715,*950,
1788192639.4287639,mouse_move,,*2720,*949,
1788192639.4589822,mouse_move,,*2724,*949,
1788192639.47825,mouse_move,,*2729,*951,
1788192639.5171096,mouse_move,,*2734,*953,
1788192639.5956385,mouse_click,down,*2734,*953,Button.left
1788192639.8063736,mouse_click,up,*2734,*953,Button.left
1788192639.8301494,mouse_move,,*2737,*957,
1788192639.8576963,mouse_move,,*2740,*961,
1788192639.8782079,mouse_move,,*2741,*966,
1788192639.8977797,mouse_move,,*2743,*970,
1788192639.918047,mouse_move,,*2743,*975,
1788192639.9845741,mouse_move,,*2743,*979,
1788192640.0239801,mouse_move,,*2742,*983,
1788192640.0428481,mouse_move,,*2742,*987,
1788192640.0718777,mouse_move,,*2740,*991,
1788192640.0979271,mouse_move,,*2738,*994,
1788192640.1400826,mouse_move,,*2736,*998,
1788192640.1725564,mouse_move,,*2732,*1000,
1788192640.197772,mouse_move,,*2729,*1004,
1788192640.2243366,mouse_move,,*2725,*1006,
1788192640.2395153,mouse_move,,*2721,*1009,
1788192640.262228,mouse_move,,*2717,*1012,
1788192640.2869744,mouse_move,,*2714,*1015,
1788192640.3090608,mouse_move,,*2710,*1018,
1788192640.3570383,mouse_move,,*2707,*1020,
1788192640.3867259,mouse_move,,*2703,*1022,
1788192640.4017694,mouse_move,,*2700,*1023,
1788192640.4260848,mouse_move,,*2697,*1025,
1788192640.4656632,mouse_move,,*2693,*1027,
1788192640.4837809,mouse_move,,*2689,*1029,
1788192640.5141039,mouse_move,,*2685,*1030,
1788192640.5398462,mouse_move,,*2681,*1031,
1788192640.5669813,mouse_move,,*2676,*1032,
1788192640.5841939,mouse_move,,*2671,*1033,
1788192640.605361,mouse_move,,*2666,*1034,
1788192640.6267376,mouse_move,,*2661,*1035,
1788192640.6425099,mouse_move,,*2656,*1034,
1788192640.657594,mouse_move,,*2650,*1035,
1788192640.6841576,mouse_move,,*2644,*1036,
1788192640.7053003,mouse_move,,*2638,*1036,
1788192640.7202051,mouse_move,,*2633,*1037,
1788192640.7421389,mouse_move,,*2629,*1038,
1788192640.7616041,mouse_move,,*2623,*1039,
1788192640.777611,mouse_move,,*2619,*1040,
1788192640.8009243,mouse_move,,*2614,*1040,
1788192640.8404181,mouse_move,,*2609,*1040,
1788192641.0424552,mouse_move,,*2604,*1041,
1788192641.08357,mouse_move,,*2600,*1042,
1788192641.1123657,mouse_move,,*2596,*1044,
1788192641.1362536,mouse_move,,*2595,*1050,
1788192641.1546283,mouse_move,,*2596,*1055,
1788192641.1849773,mouse_move,,*2599,*1058,
1788192641.2131605,mouse_move,,*2603,*1061,
1788192641.23366,mouse_move,,*2609,*1062,
1788192641.2525408,mouse_move,,*2614,*1062,
1788192641.2902503,mouse_move,,*2619,*1061,
1788192641.3062928,mouse_move,,*2623,*1058,
1788192641.3278258,mouse_move,,*2627,*1055,
1788192641.3544636,mouse_move,,*2630,*1051,
1788192641.3721859,mouse_move,,*2633,*1047,
1788192641.4040592,mouse_move,,*2635,*1041,
1788192641.4397936,mouse_move,,*2636,*1035,
1788192641.4767287,mouse_move,,*2636,*1031,
1788192641.4963925,mouse_move,,*2636,*1026,
1788192641.5194485,mouse_move,,*2636,*1020,
1788192641.5486693,mouse_move,,*2635,*1016,
1788192641.5778856,mouse_move,,*2632,*1012,
1788192641.6030464,mouse_move,,*2631,*1008,
1788192641.6356907,mouse_move,,*2629,*1004,
1788192641.6834154,mouse_move,,*2626,*1000,
1788192641.7165632,mouse_move,,*2623,*996,
1788192641.7390633,mouse_move,,*2619,*992,
1788192641.7622223,mouse_move,,*2616,*988,
1788192642.5071619,mouse_move,,*2612,*985,
1788192642.5395226,mouse_move,,*2609,*982,
1788192642.5751412,mouse_move,,*2605,*979,
1788192642.5921886,mouse_move,,*2601,*976,
1788192642.6204941,mouse_move,,*2597,*973,
1788192642.6412539,mouse_move,,*2594,*971,
1788192642.6652541,mouse_move,,*2591,*968,
1788192642.702446,mouse_move,,*2587,*967,
1788192642.7227497,mouse_move,,*2584,*966,
1788192642.7468135,mouse_move,,*2582,*965,
1788192642.7740667,mouse_move,,*2578,*964,
1788192642.7991548,mouse_move,,*2574,*962,
1788192642.8248897,mouse_move,,*2571,*960,
1788192642.8577967,mouse_move,,*2567,*960,
1788192642.8822939,mouse_move,,*2562,*959,
1788192642.9258862,mouse_move,,*2558,*958,
1788192642.9435267,mouse_move,,*2554,*957,
1788192642.9924667,mouse_move,,*2551,*956,
1788192643.0114827,mouse_move,,*2547,*956,
1788192643.0302529,mouse_move,,*2542,*955,
