timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192745.813868,mouse_click,up,*2861,*1436,Button.left
1788192745.8168681,mouse_move,,*2860,*1436,
1788192745.8425698,mouse_move,,*2860,*1437,
1788192745.8575711,mouse_move,,*2861,*1437,
1788192745.8753016,mouse_move,,*2864,*1438,
1788192745.8916316,mouse_move,,*2865,*1438,
1788192745.9126573,mouse_move,,*2868,*1438,
1788192745.9347696,mouse_move,,*2869,*1438,
1788192745.9544759,mouse_move,,*2872,*1437,
1788192745.9788797,mouse_move,,*2873,*1437,
1788192745.9878514,mouse_move,,*2873,*1436,
1788192746.2686915,mouse_move,,*2873,*1436,
1788192746.2877376,mouse_move,,*2875,*1435,
1788192746.3205869,mouse_move,,*2875,*1434,
1788192746.3384278,mouse_move,,*2875,*1434,
1788192746.350996,mouse_move,,*2875,*1433,
1788192746.3688352,mouse_move,,*2875,*1433,
1788192746.3874333,mouse_move,,*2873,*1433,
1788192746.4078698,mouse_move,,*2873,*1432,
1788192746.425087,mouse_move,,*2872,*1431,
1788192746.4471707,mouse_move,,*2871,*1431,
1788192746.4666469,mouse_move,,*2871,*1431,
1788192746.4902492,mouse_move,,*2868,*1430,
1788192746.5046678,mouse_move,,*2867,*1429,
1788192746.5210538,mouse_move,,*2864,*1429,
1788192746.5442584,mouse_move,,*2863,*1428,
1788192746.5631227,mouse_move,,*2860,*1427,
1788192746.5788825,mouse_move,,*2858,*1427,
1788192746.6013536,mouse_move,,*2858,*1427,
1788192746.6241395,mouse_move,,*2856,*1426,
1788192746.6427896,mouse_move,,*2855,*1426,
1788192746.6623538,mouse_move,,*2853,*1425,
1788192746.6797915,mouse_move,,*2852,*1425,
1788192746.7005444,mouse_move,,*2850,*1425,
1788192746.7193637,mouse_move,,*2850,*1424,
1788192746.7448902,mouse_move,,*2849,*1423,
1788192746.7631006,mouse_move,,*2848,*1423,
1788192746.7907243,mouse_move,,*2846,*1423,
1788192746.8087695,mouse_move,,*2845,*1423,
1788192746.8294058,mouse_move,,*2844,*1422,
1788192746.8472667,mouse_move,,*2842,*1421,
1788192746.8674924,mouse_move,,*2841,*1421,
1788192746.8910708,mouse_move,,*2841,*1420,
1788192746.9067054,mouse_move,,*2841,*1420,
1788192746.9308848,mouse_move,,*2839,*1420,
1788192746.950619,mouse_move,,*2838,*1419,
1788192746.9756994,mouse_move,,*2837,*1419,
1788192746.9964573,mouse_move,,*2835,*1419,
1788192747.020267,mouse_move,,*2835,*1419,
1788192747.0481288,mouse_move,,*2834,*1419,
1788192747.0693355,mouse_move,,*2833,*1419,
1788192747.086278,mouse_move,,*2833,*1419,
1788192747.1130693,mouse_move,,*2831,*1418,
1788192747.1338892,mouse_move,,*2830,*1417,
1788192747.1460855,mouse_move,,*2829,*1416,
1788192747.160717,mouse_move,,*2827,*1416,
1788192747.1816592,mouse_move,,*2826,*1416,
1788192747.2086194,mouse_move,,*2825,*1416,
1788192747.235574,mouse_move,,*2823,*1416,
1788192747.2494376,mouse_move,,*2822,*1416,
1788192747.2682025,mouse_move,,*2821,*1415,
1788192747.2878857,mouse_move,,*2821,*1415,
1788192747.3260379,mouse_move,,*2819,*1414,
1788192747.3581557,mouse_move,,*2819,*1414,
1788192747.3751156,mouse_move,,*2818,*1414,
1788192747.3935144,mouse_move,,*2817,*1414,
1788192747.4169025,mouse_move,,*2815,*1413,
1788192747.4375694,mouse_move,,*2814,*1413,
1788192747.4582729,mouse_move,,*2813,*1413,
1788192747.4677808,mouse_move,,*2811,*1414,
1788192747.4873719,mouse_move,,*2811,*1413,
1788192747.5173335,mouse_move,,*2810,*1413,
1788192747.5461752,mouse_move,,*2809,*1413,
1788192747.5600305,mouse_move,,*2807,*1412,
1788192747.5685465,mouse_move,,*2807,*1412,
1788192747.6043935,mouse_move,,*2806,*1412,
1788192747.6260457,mouse_move,,*2803,*1412,
1788192747.6439998,mouse_move,,*2803,*1412,
1788192747.6631556,mouse_move,,*2802,*1412,
1788192747.6773217,mouse_move,,*2801,*1411,
1788192747.6953771,mouse_move,,*2799,*1411,
1788192747.7180696,mouse_move,,*2798,*1411,
1788192747.7325172,mouse_move,,*2796,*1411,
1788192747.7552774,mouse_move,,*2795,*1411,
1788192747.7696462,mouse_move,,*2793,*1410,
1788192747.7838259,mouse_move,,*2791,*1410,
1788192747.8079758,mouse_move,,*2790,*1409,
1788192747.82511,mouse_move,,*2789,*1409,
1788192747.8518236,mouse_move,,*2789,*1409,
1788192747.8751638,mouse_move,,*2787,*1408,
1788192747.8972092,mouse_move,,*2789,*1407,
1788192747.9244287,mouse_move,,*2789,*1407,
1788192747.942229,mouse_move,,*2790,*1407,
1788192747.9513724,mouse_move,,*2792,*1407,
1788192747.9711738,mouse_move,,*2793,*1407,
1788192747.9939699,mouse_move,,*2794,*1407,
1788192748.012274,mouse_move,,*2794,*1408,
1788192748.035157,mouse_move,,*2796,*1409,
1788192748.056802,mouse_move,,*2797,*1409,
1788192748.0699673,mouse_move,,*2798,*1410,
1788192748.0875769,mouse_move,,*2798,*1410,
1788192748.1111734,mouse_move,,*2798,*1411,
1788192748.1281116,mouse_move,,*2797,*1412,
1788192748.1450231,mouse_move,,*2797,*1412,
1788192748.1687734,mouse_move,,*2797,*1412,
1788192748.1896489,mouse_move,,*2797,*1413,
1788192748.2065892,mouse_move,,*2796,*1413,
1788192748.2199771,mouse_move,,*2796,*1414,
1788192748.2347901,mouse_move,,*2796,*1413,
1788192748.262187,mouse_move,,*2794,*1414,
1788192748.2795169,mouse_move,,*2794,*1414,
1788192748.3028593,mouse_move,,*2793,*1415,
1788192748.3442039,mouse_move,,*2792,*1415,
1788192748.3646705,mouse_move,,*2791,*1416,
1788192748.3797896,mouse_move,,*2789,*1416,
1788192748.4873922,mouse_click,down,*2789,*1416,Button.left
1788192748.5967989,mouse_click,up,*2789,*1416,Button.left
1788192748.616312,mouse_move,,*2788,*1417,
1788192748.6330013,mouse_move,,*2787,*1418,
1788192748.6493323,mouse_move,,*2784,*1419,
1788192748.6813407,mouse_move,,*2783,*1420,
1788192748.7017064,mouse_move,,*2783,*1421,
1788192748.7169387,mouse_move,,*2783,*1423,
1788192748.7394228,mouse_move,,*2785,*1425,
1788192748.7575784,mouse_move,,*2788,*1425,
1788192748.7888792,mouse_move,,*2791,*1425,
1788192748.8065143,mouse_move,,*2794,*1425,
1788192748.8206077,mouse_move,,*2795,*1425,
1788192748.8347995,mouse_move,,*2796,*1423,
1788192748.8591869,mouse_move,,*2799,*1423,
1788192748.8781939,mouse_move,,*2802,*1422,
1788192748.8963161,mouse_move,,*2803,*1421,
1788192748.9114983,mouse_move,,*2804,*1420,
1788192748.9303482,mouse_move,,*2804,*1419,
1788192748.9490583,mouse_move,,*2806,*1418,
1788192748.9768119,mouse_move,,*2806,*1417,
1788192749.2123265,mouse_move,,*2807,*1415,
1788192749.2404339,mouse_move,,*2806,*1413,
1788192749.2558031,mouse_move,,*2806,*1413,
1788192749.2731578,mouse_move,,*2805,*1411,
1788192749.285284,mouse_move,,*2805,*1409,
1788192749.3039341,mouse_move,,*2803,*1408,
1788192749.3200974,mouse_move,,*2802,*1407,
1788192749.3450251,mouse_move,,*2800,*1406,
1788192749.3560026,mouse_move,,*2799,*1404,
1788192749.4060292,mouse_move,,*2796,*1403,
1788192749.4183943,mouse_move,,*2795,*1401,
1788192749.4382236,mouse_move,,*2794,*1400,
1788192749.4637043,mouse_move,,*2791,*1398,
1788192749.4873681,mouse_move,,*2790,*1397,
1788192749.5040109,mouse_move,,*2787,*1395,
1788192749.5215895,mouse_move,,*2785,*1394,
1788192749.5367734,mouse_move,,*2781,*1393,
1788192749.5600452,mouse_move,,*2778,*1392,
1788192749.5897298,mouse_move,,*2776,*1390,
1788192749.6253633,mouse_move,,*2772,*1388,
1788192749.6467814,mouse_move,,*2769,*1387,
1788192749.6665866,mouse_move,,*2766,*1385,
1788192749.6839654,mouse_move,,*2763,*1384,
1788192749.7262719,mouse_move,,*2759,*1382,
1788192749.7450366,mouse_move,,*2756,*1381,
1788192749.7663357,mouse_move,,*2754,*1380,
1788192749.7948184,mouse_move,,*2751,*1378,
1788192749.810106,mouse_move,,*2748,*1377,
1788192749.839313,mouse_move,,*2745,*1375,
1788192749.8560174,mouse_move,,*2744,*1374,
1788192749.8729219,mouse_move,,*2741,*1373,
1788192749.8887188,mouse_move,,*2739,*1371,
1788192749.9222655,mouse_move,,*2736,*1369,
1788192749.9429038,mouse_move,,*2733,*1368,
1788192749.9618607,mouse_move,,*2730,*1368,
1788192749.9825239,mouse_move,,*2728,*1365,
1788192750.0028186,mouse_move,,*2724,*1364,
1788192750.0232422,mouse_move,,*2721,*1362,
1788192750.0430839,mouse_move,,*2717,*1361,
1788192750.0630612,mouse_move,,*2713,*1359,
1788192750.0924957,mouse_move,,*2711,*1358,
1788192750.1097045,mouse_move,,*2706,*1356,
1788192750.1272178,mouse_move,,*2702,*1354,
1788192750.1470981,mouse_move,,*2698,*1352,
1788192750.1599567,mouse_move,,*2694,*1350,
1788192750.1784806,mouse_move,,*2689,*1348,
1788192750.1930501,mouse_move,,*2685,*1347,
1788192750.2190464,mouse_move,,*2681,*1346,
1788192750.2406256,mouse_move,,*2677,*1344,
1788192750.2652626,mouse_move,,*2675,*1343,
1788192750.2814577,mouse_move,,*2671,*1341,
1788192750.2977514,mouse_move,,*2668,*1340,
1788192750.3188844,mouse_move,,*2665,*1338,
1788192750.3505104,mouse_move,,*2661,*1338,
1788192750.3637896,mouse_move,,*2657,*1337,
1788192750.3798282,mouse_move,,*2654,*1335,
1788192750.4098976,mouse_move,,*2650,*1334,
1788192750.4428289,mouse_move,,*2646,*1333,
1788192750.4640863,mouse_move,,*2642,*1331,
1788192750.4869213,mouse_move,,*2636,*1331,
1788192750.5066648,mouse_move,,*2632,*1330,
1788192750.5254657,mouse_move,,*2627,*1329,
1788192750.5435014,mouse_move,,*2621,*1329,
1788192750.5620387,mouse_move,,*2616,*1328,
1788192750.5774271,mouse_move,,*2610,*1328,
1788192750.5888829,mouse_move,,*2604,*1326,
1788192750.604291,mouse_move,,*2598,*1325,
1788192750.6195586,mouse_move,,*2592,*1324,
1788192750.6375942,mouse_move,,*2587,*1323,
1788192750.6584172,mouse_move,,*2582,*1322,
1788192750.6890793,mouse_move,,*2578,*1322,
1788192750.7044497,mouse_move,,*2573,*1321,
1788192750.7289922,mouse_move,,*2569,*1320,
1788192750.7557867,mouse_move,,*2563,*1320,
1788192750.7853057,mouse_move,,*2559,*1320,
1788192750.8064642,mouse_move,,*2554,*1319,
1788192750.8430495,mouse_move,,*2550,*1319,
1788192750.8808498,mouse_move,,*2545,*1318,
1788192750.9015946,mouse_move,,*2541,*1317,
1788192750.928534,mouse_move,,*2539,*1317,
1788192750.9478123,mouse_move,,*2534,*1317,
1788192750.9629793,mouse_move,,*2529,*1316,
1788192750.9814007,mouse_move,,*2526,*1316,
1788192751.0047078,mouse_move,,*2522,*1316,
1788192751.0230508,mouse_move,,*2517,*1316,
1788192751.0540121,mouse_move,,*2514,*1316,
1788192751.0743916,mouse_move,,*2509,*1315,
1788192751.087713,mouse_move,,*2505,*1315,
1788192751.1097212,mouse_move,,*2499,*1316,
1788192751.1341026,mouse_move,,*2495,*1316,
1788192751.146291,mouse_move,,*2490,*1316,
1788192751.1724119,mouse_move,,*2484,*1316,
1788192751.1939356,mouse_move,,*2479,*1316,
1788192751.2164912,mouse_move,,*2472,*1316,
1788192751.2296569,mouse_move,,*2465,*1315,
1788192751.2422051,mouse_move,,*2460,*1316,
1788192751.26123,mouse_move,,*2452,*1315,
1788192751.2798336,mouse_move,,*2443,*1315,
1788192751.2939606,mouse_move,,*2435,*1315,
1788192751.3368895,mouse_move,,*2429,*1316,
1788192751.3570454,mouse_move,,*2422,*1316,
1788192751.3741896,mouse_move,,*2415,*1315,
1788192751.4022024,mouse_move,,*2409,*1315,
1788192751.4548938,mouse_click,down,*2409,*1315,Button.left
1788192751.511806,mouse_click,up,*2409,*1315,Button.left
1788192751.5267234,mouse_move,,*2401,*1314,
1788192751.543323,mouse_move,,*2395,*1313,
1788192751.5612111,mouse_move,,*2386,*1313,
