timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192819.4527698,mouse_click,up,*2696,*1515,Button.left
1788192820.4742966,mouse_move,,*2685,*1512,
1788192820.509969,mouse_move,,*2673,*1509,
1788192820.5367303,mouse_move,,*2660,*1507,
1788192820.5632746,mouse_move,,*2646,*1506,
1788192820.5771036,mouse_move,,*2636,*1503,
1788192820.5889664,mouse_move,,*2626,*1501,
1788192820.6190057,mouse_move,,*2614,*1500,
1788192820.6561923,mouse_move,,*2604,*1498,
1788192820.6728146,mouse_move,,*2593,*1498,
1788192820.7041883,mouse_move,,*2581,*1498,
1788192820.7253814,mouse_move,,*2571,*1505,
1788192820.76917,mouse_move,,*2565,*1514,
1788192820.7945855,mouse_move,,*2563,*1521,
1788192820.8187661,mouse_move,,*2566,*1528,
1788192820.8449166,mouse_move,,*2572,*1534,
1788192820.8730381,mouse_move,,*2580,*1536,
1788192820.8966353,mouse_move,,*2586,*1534,
1788192820.9501994,mouse_move,,*2593,*1532,
1788192820.9771397,mouse_move,,*2599,*1529,
1788192821.0022774,mouse_move,,*2604,*1523,
1788192821.0253599,mouse_move,,*2607,*1517,
1788192821.053998,mouse_move,,*2610,*1510,
1788192821.0704141,mouse_move,,*2611,*1501,
1788192821.1066022,mouse_move,,*2612,*1495,
1788192821.128551,mouse_move,,*2610,*1488,
1788192821.1562181,mouse_move,,*2610,*1481,
1788192821.1879892,mouse_move,,*2607,*1474,
1788192821.2139847,mouse_move,,*2604,*1468,
1788192821.2461367,mouse_move,,*2599,*1460,
1788192821.2634759,mouse_move,,*2597,*1452,
1788192821.2854397,mouse_move,,*2592,*1446,
1788192821.3019178,mouse_move,,*2589,*1438,
1788192821.3196313,mouse_move,,*2586,*1432,
1788192821.3431323,mouse_move,,*2583,*1424,
1788192821.3740585,mouse_move,,*2578,*1415,
1788192821.40012,mouse_move,,*2575,*1406,
1788192821.4202707,mouse_move,,*2573,*1396,
1788192821.4525666,mouse_move,,*2571,*1389,
1788192821.4735734,mouse_move,,*2569,*1380,
1788192821.4895427,mouse_move,,*2568,*1369,
1788192821.5032508,mouse_move,,*2567,*1359,
1788192821.5342114,mouse_move,,*2566,*1349,
1788192821.5523596,mouse_move,,*2565,*1337,
1788192821.5730495,mouse_move,,*2566,*1328,
1788192821.6112499,mouse_move,,*2565,*1318,
1788192821.6278644,mouse_move,,*2564,*1310,
1788192821.6562734,mouse_move,,*2564,*1299,
1788192821.6899531,mouse_move,,*2566,*1290,
1788192821.7186129,mouse_move,,*2567,*1280,
1788192821.7404416,mouse_move,,*2565,*1271,
1788192821.7642467,mouse_move,,*2564,*1262,
1788192821.7811494,mouse_move,,*2559,*1250,
1788192821.81144,mouse_move,,*2552,*1239,
1788192821.832896,mouse_move,,*2545,*1228,
