timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192857.2970059,mouse_click,up,*2965,*1426,Button.left
1788192857.3397782,mouse_move,,*2958,*1441,
1788192857.356703,mouse_move,,*2959,*1455,
1788192857.374974,mouse_move,,*2965,*1467,
1788192857.3888524,mouse_move,,*2965,*1475,
1788192857.3981524,mouse_move,,*2960,*1488,
1788192857.4202075,mouse_move,,*2964,*1498,
1788192857.4319403,mouse_move,,*2965,*1507,
1788192857.454438,mouse_move,,*2963,*1519,
1788192857.467078,mouse_move,,*2964,*1530,
1788192857.4958298,mouse_move,,*2964,*1540,
1788192857.5069118,mouse_move,,*2964,*1552,
1788192857.5183172,mouse_move,,*2964,*1562,
1788192857.5390108,mouse_move,,*2963,*1575,
1788192857.549324,mouse_move,,*2962,*1587,
1788192857.5768213,mouse_move,,*2962,*1600,
1788192857.5899763,mouse_move,,*2961,*1615,
1788192857.613817,mouse_move,,*2959,*1630,
1788192857.6288419,mouse_move,,*2959,*1643,
1788192857.6502666,mouse_move,,*2959,*1655,
1788192857.661979,mouse_move,,*2959,*1670,
1788192857.683351,mouse_move,,*2959,*1684,
1788192857.7054942,mouse_move,,*2957,*1699,
1788192857.7257843,mouse_move,,*2958,*1710,
1788192857.7402818,mouse_move,,*2959,*1724,
1788192857.7584624,mouse_move,,*2959,*1736,
1788192857.7830052,mouse_move,,*2961,*1750,
1788192857.8090234,mouse_move,,*2962,*1760,
1788192857.8228519,mouse_move,,*2963,*1760,
1788192857.8438683,mouse_move,,*2964,*1760,
1788192857.8638246,mouse_move,,*2964,*1760,
1788192857.8802674,mouse_move,,*2965,*1760,
1788192857.8964777,mouse_move,,*2965,*1760,
1788192857.9201567,mouse_move,,*2965,*1760,
1788192857.9399154,mouse_move,,*2965,*1760,
1788192857.9559679,mouse_move,,*2965,*1760,
1788192857.9679101,mouse_move,,*2965,*1760,
1788192857.9911952,mouse_move,,*2965,*1760,
1788192858.0123374,mouse_move,,*2965,*1760,
1788192858.0305099,mouse_move,,*2965,*1760,
1788192858.0512969,mouse_move,,*2965,*1760,
1788192858.0630105,mouse_move,,*2965,*1760,
1788192858.0868051,mouse_move,,*2960,*1746,
1788192858.1056652,mouse_move,,*2955,*1736,
1788192858.3873048,mouse_move,,*2950,*1725,
1788192858.4080822,mouse_move,,*2944,*1716,
1788192858.4181561,mouse_move,,*2936,*1706,
1788192858.4452925,mouse_move,,*2928,*1696,
1788192858.4593465,mouse_move,,*2920,*1687,
1788192858.4729095,mouse_move,,*2911,*1682,
1788192858.4952769,mouse_move,,*2900,*1675,
1788192858.5103996,mouse_move,,*2892,*1668,
1788192858.5398691,mouse_move,,*2882,*1661,
1788192858.5548134,mouse_move,,*2870,*1655,
1788192858.5620701,mouse_move,,*2859,*1648,
1788192858.5796411,mouse_move,,*2847,*1639,
1788192858.5966058,mouse_move,,*2836,*1631,
1788192858.6379902,mouse_move,,*2824,*1625,
1788192858.6565742,mouse_move,,*2812,*1619,
1788192858.671982,mouse_move,,*2801,*1609,
1788192858.7003419,mouse_move,,*2796,*1595,
1788192858.7283113,mouse_move,,*2794,*1578,
1788192858.7555513,mouse_move,,*2794,*1561,
1788192858.7752199,mouse_move,,*2799,*1544,
1788192858.7998052,mouse_move,,*2805,*1528,
1788192858.815347,mouse_move,,*2813,*1516,
1788192858.8242824,mouse_move,,*2824,*1504,
1788192858.8381791,mouse_move,,*2836,*1495,
1788192858.8522844,mouse_move,,*2850,*1487,
1788192858.8620384,mouse_move,,*2866,*1480,
1788192858.8731582,mouse_move,,*2880,*1474,
1788192858.8935997,mouse_move,,*2898,*1468,
1788192858.9178338,mouse_move,,*2916,*1469,
1788192858.9376996,mouse_move,,*2933,*1471,
1788192858.9573581,mouse_move,,*2949,*1476,
1788192858.9714181,mouse_move,,*2965,*1483,
1788192858.9900377,mouse_move,,*2965,*1495,
1788192859.0106924,mouse_move,,*2965,*1506,
1788192859.0247688,mouse_move,,*2951,*1520,
1788192859.0391479,mouse_move,,*2941,*1531,
1788192859.0555334,mouse_move,,*2933,*1544,
1788192859.0815632,mouse_move,,*2921,*1559,
1788192859.0955307,mouse_move,,*2912,*1572,
1788192859.1194115,mouse_move,,*2905,*1590,
1788192859.1344938,mouse_move,,*2901,*1606,
1788192859.1472056,mouse_move,,*2897,*1624,
1788192859.1650717,mouse_move,,*2894,*1642,
1788192859.1810322,mouse_move,,*2894,*1659,
1788192859.1914427,mouse_move,,*2894,*1676,
