timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192930.8554289,mouse_click,up,*2965,*1405,Button.left
1788192932.4038329,mouse_move,,*2965,*1418,
1788192932.4358239,mouse_move,,*2965,*1427,
1788192932.4552448,mouse_move,,*2965,*1432,
1788192932.4775431,mouse_move,,*2965,*1433,
1788192932.5000248,mouse_move,,*2955,*1441,
1788192932.5174646,mouse_move,,*2951,*1453,
1788192932.5447347,mouse_move,,*2953,*1466,
1788192932.5600636,mouse_move,,*2961,*1479,
1788192932.5805037,mouse_move,,*2965,*1487,
1788192932.6007786,mouse_move,,*2958,*1502,
1788192932.6229618,mouse_move,,*2961,*1517,
1788192932.6416783,mouse_move,,*2962,*1528,
1788192932.6552022,mouse_move,,*2961,*1542,
1788192932.6760211,mouse_move,,*2961,*1554,
1788192932.6884243,mouse_move,,*2958,*1567,
1788192932.6997387,mouse_move,,*2958,*1580,
1788192932.7361956,mouse_move,,*2956,*1592,
1788192932.7752414,mouse_move,,*2956,*1606,
1788192932.8066437,mouse_move,,*2955,*1619,
1788192932.8251808,mouse_move,,*2955,*1634,
1788192932.8479073,mouse_move,,*2953,*1650,
1788192932.880775,mouse_move,,*2953,*1663,
1788192932.9018621,mouse_move,,*2952,*1678,
1788192932.918869,mouse_move,,*2952,*1690,
1788192932.9463606,mouse_move,,*2951,*1705,
1788192932.9790552,mouse_move,,*2952,*1718,
1788192933.0026402,mouse_move,,*2952,*1727,
1788192933.0199008,mouse_move,,*2948,*1713,
1788192933.0497837,mouse_move,,*2945,*1702,
1788192933.0628834,mouse_move,,*2939,*1690,
1788192933.084764,mouse_move,,*2934,*1679,
1788192933.1053803,mouse_move,,*2929,*1667,
1788192933.1241143,mouse_move,,*2922,*1658,
1788192933.1574619,mouse_move,,*2916,*1648,
1788192933.1789215,mouse_move,,*2907,*1639,
1788192933.1962674,mouse_move,,*2899,*1631,
1788192933.5008326,mouse_move,,*2889,*1621,
1788192933.5150621,mouse_move,,*2883,*1615,
