timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788192968.2767951,mouse_click,up,*2743,*1454,Button.left
1788192968.2797952,mouse_move,,*2741,*1455,
1788192968.293258,mouse_move,,*2739,*1455,
1788192968.319479,mouse_move,,*2738,*1455,
1788192968.3388028,mouse_move,,*2735,*1456,
1788192968.3605618,mouse_move,,*2733,*1457,
1788192968.3941188,mouse_move,,*2731,*1458,
1788192968.4119658,mouse_move,,*2731,*1458,
1788192968.4265728,mouse_move,,*2728,*1458,
1788192968.4497702,mouse_move,,*2726,*1459,
1788192968.4861283,mouse_move,,*2725,*1460,
1788192968.5089881,mouse_move,,*2723,*1460,
1788192968.5289674,mouse_move,,*2722,*1460,
1788192968.5580809,mouse_move,,*2721,*1461,
1788192968.5746763,mouse_move,,*2719,*1460,
1788192968.5989444,mouse_move,,*2718,*1460,
1788192968.6187429,mouse_move,,*2716,*1460,
1788192968.6342218,mouse_move,,*2715,*1460,
1788192968.6541979,mouse_move,,*2713,*1461,
1788192968.6680119,mouse_move,,*2712,*1461,
1788192968.6877172,mouse_move,,*2710,*1463,
1788192968.7245789,mouse_move,,*2710,*1464,
1788192968.7526474,mouse_move,,*2709,*1466,
1788192968.7840881,mouse_move,,*2710,*1468,
1788192968.8116951,mouse_move,,*2713,*1470,
1788192969.5021026,mouse_move,,*2714,*1470,
1788192969.5331633,mouse_move,,*2715,*1470,
1788192969.557147,mouse_move,,*2716,*1471,
1788192969.585393,mouse_move,,*2717,*1471,
1788192969.6051872,mouse_move,,*2718,*1470,
1788192969.6203573,mouse_move,,*2719,*1469,
1788192969.6439855,mouse_move,,*2720,*1468,
1788192969.6628959,mouse_move,,*2720,*1468,
1788192969.6828556,mouse_move,,*2721,*1466,
1788192969.7077262,mouse_move,,*2721,*1464,
1788192969.7213759,mouse_move,,*2722,*1463,
1788192969.7349555,mouse_move,,*2721,*1462,
1788192969.7573657,mouse_move,,*2722,*1461,
1788192969.7747231,mouse_move,,*2721,*1461,
1788192969.7895474,mouse_move,,*2719,*1460,
1788192969.8054473,mouse_move,,*2718,*1458,
1788192969.8296752,mouse_move,,*2718,*1457,
1788192969.8602455,mouse_move,,*2718,*1457,
1788192969.8807392,mouse_move,,*2717,*1456,
1788192969.9039357,mouse_move,,*2716,*1455,
1788192969.918206,mouse_move,,*2715,*1453,
1788192969.9422722,mouse_move,,*2713,*1454,
1788192969.9601991,mouse_move,,*2711,*1454,
1788192969.9839377,mouse_move,,*2709,*1454,
1788192969.9984827,mouse_move,,*2708,*1453,
1788192970.0185134,mouse_move,,*2707,*1452,
1788192970.0629191,mouse_move,,*2706,*1452,
1788192970.0915043,mouse_move,,*2704,*1452,
1788192970.1058962,mouse_move,,*2703,*1452,
1788192970.1398733,mouse_move,,*2701,*1452,
1788192970.1673257,mouse_move,,*2698,*1451,
1788192970.1798923,mouse_move,,*2697,*1451,
1788192970.2012959,mouse_move,,*2695,*1451,
1788192970.2277076,mouse_move,,*2693,*1450,
1788192970.255254,mouse_move,,*2692,*1450,
1788192970.27266,mouse_move,,*2690,*1450,
1788192970.2930677,mouse_move,,*2688,*1451,
1788192970.3126874,mouse_move,,*2687,*1451,
1788192970.3337424,mouse_move,,*2685,*1450,
1788192970.3697193,mouse_move,,*2683,*1450,
1788192970.4021401,mouse_move,,*2681,*1450,
1788192970.4324985,mouse_move,,*2679,*1450,
1788192970.4610224,mouse_move,,*2678,*1448,
1788192970.4779289,mouse_move,,*2677,*1449,
1788192970.5042057,mouse_move,,*2675,*1449,
1788192970.5345452,mouse_move,,*2673,*1448,
1788192970.5517271,mouse_move,,*2671,*1447,
1788192970.570827,mouse_move,,*2669,*1446,
1788192970.5877056,mouse_move,,*2667,*1446,
1788192970.6283154,mouse_move,,*2666,*1444,
1788192970.6529055,mouse_move,,*2663,*1444,
1788192970.6740837,mouse_move,,*2662,*1443,
1788192970.7027786,mouse_move,,*2658,*1442,
1788192970.7169828,mouse_move,,*2656,*1440,
1788192970.742065,mouse_move,,*2654,*1440,
1788192970.7667322,mouse_move,,*2652,*1438,
1788192970.7997396,mouse_move,,*2650,*1437,
1788192970.8466196,mouse_move,,*2648,*1437,
1788192970.8753371,mouse_move,,*2646,*1436,
1788192970.9072661,mouse_move,,*2644,*1434,
1788192970.9286048,mouse_move,,*2642,*1433,
1788192970.9453671,mouse_move,,*2639,*1433,
1788192970.9580126,mouse_move,,*2638,*1433,
1788192970.9862418,mouse_move,,*2636,*1432,
1788192971.0028594,mouse_move,,*2632,*1431,
1788192971.0253966,mouse_move,,*2631,*1429,
1788192971.0539329,mouse_move,,*2631,*1428,
1788192971.068753,mouse_move,,*2631,*1426,
1788192971.0866885,mouse_move,,*2634,*1423,
1788192971.1229908,mouse_move,,*2635,*1423,
1788192971.1452942,mouse_move,,*2638,*1422,
1788192971.1746192,mouse_move,,*2639,*1423,
1788192971.1903524,mouse_move,,*2641,*1424,
1788192971.2222066,mouse_move,,*2643,*1426,
1788192971.247493,mouse_move,,*2645,*1428,
1788192971.2742157,mouse_move,,*2646,*1430,
1788192971.2936997,mouse_move,,*2646,*1432,
1788192971.3275557,mouse_move,,*2645,*1435,
1788192971.3538706,mouse_move,,*2645,*1437,
1788192971.3794334,mouse_move,,*2644,*1438,
1788192971.3981276,mouse_move,,*2645,*1440,
1788192971.416888,mouse_move,,*2645,*1442,
1788192971.437346,mouse_move,,*2647,*1443,
1788192971.4604881,mouse_move,,*2648,*1445,
1788192971.4774501,mouse_move,,*2650,*1445,
1788192971.4958794,mouse_move,,*2653,*1446,
1788192971.5077779,mouse_move,,*2656,*1446,
1788192971.5294676,mouse_move,,*2657,*1445,
1788192971.5856063,mouse_move,,*2658,*1444,
1788192971.6078377,mouse_move,,*2662,*1443,
1788192971.6386065,mouse_click,down,*2662,*1443,Button.left
1788192971.7160878,mouse_click,up,*2661,*1443,Button.left
1788192971.7349486,mouse_move,,*2663,*1440,
1788192971.7575538,mouse_move,,*2665,*1437,
1788192971.7866645,mouse_move,,*2666,*1434,
1788192971.8073685,mouse_move,,*2667,*1431,
1788192971.8292601,mouse_move,,*2667,*1428,
1788192971.844826,mouse_move,,*2667,*1426,
1788192972.4199488,mouse_move,,*2667,*1424,
1788192972.4488304,mouse_move,,*2666,*1421,
1788192972.4881051,mouse_move,,*2665,*1419,
1788192972.5150266,mouse_move,,*2665,*1417,
1788192972.5375664,mouse_move,,*2663,*1415,
1788192972.5692258,mouse_move,,*2660,*1413,
1788192972.5815771,mouse_move,,*2659,*1412,
1788192972.6026957,mouse_move,,*2658,*1411,
1788192972.6208596,mouse_move,,*2656,*1410,
1788192972.6343558,mouse_move,,*2656,*1408,
1788192972.6502266,mouse_move,,*2653,*1406,
1788192972.6744795,mouse_move,,*2652,*1405,
1788192972.7057748,mouse_move,,*2649,*1403,
1788192972.7344139,mouse_move,,*2649,*1400,
1788192972.7556386,mouse_move,,*2649,*1399,
1788192972.7798622,mouse_move,,*2651,*1397,
1788192972.8044002,mouse_move,,*2653,*1395,
1788192972.8226047,mouse_move,,*2655,*1394,
1788192972.8504093,mouse_move,,*2657,*1395,
1788192972.8892756,mouse_move,,*2659,*1393,
1788192972.9142387,mouse_move,,*2661,*1395,
1788192972.9292831,mouse_move,,*2664,*1396,
1788192972.9692903,mouse_move,,*2666,*1397,
1788192972.9958756,mouse_move,,*2667,*1400,
1788192973.0297444,mouse_move,,*2668,*1403,
1788192973.0538702,mouse_move,,*2667,*1405,
1788192973.0724125,mouse_move,,*2668,*1407,
1788192973.1001859,mouse_move,,*2667,*1411,
1788192973.1221812,mouse_move,,*2666,*1413,
1788192973.1609185,mouse_move,,*2665,*1415,
1788192973.1973855,mouse_move,,*2664,*1417,
1788192973.2249937,mouse_move,,*2662,*1419,
1788192973.2475569,mouse_move,,*2660,*1421,
1788192973.2711451,mouse_move,,*2659,*1423,
1788192973.2944796,mouse_move,,*2658,*1426,
1788192973.3030553,mouse_move,,*2655,*1427,
1788192973.3317673,mouse_move,,*2652,*1430,
1788192973.361747,mouse_move,,*2648,*1431,
1788192973.3851922,mouse_move,,*2645,*1433,
1788192973.4018133,mouse_move,,*2642,*1435,
1788192973.4248741,mouse_move,,*2641,*1436,
1788192973.4523435,mouse_move,,*2639,*1439,
1788192973.4932575,mouse_move,,*2637,*1441,
1788192973.5230355,mouse_move,,*2635,*1442,
1788192973.5399487,mouse_move,,*2632,*1443,
1788192973.5603027,mouse_move,,*2629,*1446,
1788192973.586978,mouse_move,,*2626,*1446,
