timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788193005.3270042,mouse_click,up,*2965,*1513,Button.left
1788193006.1500056,mouse_move,,*2962,*1512,
1788193006.1638503,mouse_move,,*2955,*1512,
1788193006.1832142,mouse_move,,*2950,*1515,
1788193006.2064829,mouse_move,,*2950,*1519,
1788193006.231705,mouse_move,,*2950,*1522,
1788193006.2775323,mouse_move,,*2951,*1523,
1788193006.2860091,mouse_move,,*2953,*1524,
1788193006.3073475,mouse_move,,*2956,*1524,
1788193006.3281741,mouse_move,,*2960,*1522,
1788193006.365005,mouse_move,,*2961,*1520,
1788193006.3950803,mouse_move,,*2960,*1523,
1788193006.4236844,mouse_move,,*2957,*1527,
1788193006.4564345,mouse_move,,*2953,*1531,
1788193006.473907,mouse_move,,*2954,*1535,
1788193006.5008965,mouse_move,,*2955,*1536,
1788193006.5245214,mouse_move,,*2955,*1537,
1788193006.5515342,mouse_move,,*2958,*1539,
1788193006.5729592,mouse_move,,*2959,*1540,
1788193006.6007948,mouse_move,,*2960,*1539,
1788193006.6169834,mouse_move,,*2961,*1538,
1788193006.6369438,mouse_move,,*2960,*1538,
1788193006.6604679,mouse_move,,*2958,*1539,
1788193006.7062464,mouse_move,,*2956,*1540,
1788193006.7311561,mouse_move,,*2955,*1541,
1788193006.7604976,mouse_move,,*2958,*1543,
1788193006.7904754,mouse_move,,*2959,*1544,
1788193006.8189108,mouse_move,,*2959,*1545,
1788193006.8450975,mouse_move,,*2958,*1545,
1788193006.87359,mouse_move,,*2956,*1546,
1788193006.8942542,mouse_move,,*2956,*1548,
1788193006.9187133,mouse_move,,*2956,*1551,
1788193007.2750356,mouse_move,,*2957,*1552,
1788193007.2963908,mouse_move,,*2955,*1554,
1788193007.3148077,mouse_move,,*2955,*1557,
1788193007.3384833,mouse_move,,*2956,*1560,
1788193007.3716722,mouse_move,,*2958,*1564,
1788193007.397105,mouse_move,,*2959,*1567,
1788193007.4320216,mouse_move,,*2961,*1572,
1788193007.4621332,mouse_move,,*2962,*1578,
1788193007.5100749,mouse_move,,*2964,*1581,
1788193007.5323775,mouse_move,,*2965,*1585,
1788193007.5633523,mouse_move,,*2965,*1589,
1788193007.5889771,mouse_move,,*2963,*1597,
1788193007.62604,mouse_move,,*2965,*1600,
1788193007.6803331,mouse_move,,*2965,*1605,
1788193007.7201948,mouse_move,,*2965,*1607,
1788193007.7540419,mouse_move,,*2963,*1615,
1788193007.7818267,mouse_move,,*2961,*1621,
1788193007.8055043,mouse_move,,*2963,*1626,
