timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788193080.1298597,mouse_click,up,*2549,*1749,Button.left
1788193080.1328597,mouse_move,,*2551,*1749,
1788193080.1448431,mouse_move,,*2552,*1749,
1788193080.1514683,mouse_move,,*2554,*1749,
1788193080.160959,mouse_move,,*2555,*1749,
1788193080.1690118,mouse_move,,*2556,*1748,
1788193080.1752534,mouse_move,,*2557,*1747,
1788193080.184782,mouse_move,,*2558,*1746,
1788193080.1905565,mouse_move,,*2559,*1745,
1788193080.1994278,mouse_move,,*2559,*1743,
1788193080.2126617,mouse_move,,*2560,*1742,
1788193080.2192893,mouse_move,,*2560,*1740,
1788193080.2254791,mouse_move,,*2561,*1738,
1788193080.2321601,mouse_move,,*2561,*1737,
1788193080.2399509,mouse_move,,*2560,*1735,
1788193080.2519472,mouse_move,,*2560,*1734,
1788193080.2595949,mouse_move,,*2559,*1732,
1788193080.2702119,mouse_move,,*2560,*1731,
1788193080.2794251,mouse_move,,*2560,*1730,
1788193080.288744,mouse_move,,*2562,*1729,
1788193080.2954087,mouse_move,,*2563,*1729,
1788193080.3025923,mouse_move,,*2564,*1730,
1788193080.3093283,mouse_move,,*2566,*1730,
1788193080.3186674,mouse_move,,*2567,*1731,
1788193080.3248198,mouse_move,,*2567,*1733,
1788193080.33515,mouse_move,,*2568,*1734,
1788193080.3473449,mouse_move,,*2569,*1736,
1788193080.3549461,mouse_move,,*2570,*1738,
1788193080.3604233,mouse_move,,*2571,*1739,
1788193080.3682806,mouse_move,,*2573,*1740,
1788193080.374553,mouse_move,,*2575,*1740,
1788193080.3817182,mouse_move,,*2576,*1740,
1788193080.3883147,mouse_move,,*2578,*1739,
1788193080.3940651,mouse_move,,*2580,*1739,
1788193080.4002073,mouse_move,,*2582,*1738,
1788193080.5712154,mouse_move,,*2583,*1736,
1788193080.5781565,mouse_move,,*2584,*1734,
1788193080.5873456,mouse_move,,*2585,*1733,
1788193080.5977845,mouse_move,,*2585,*1731,
1788193080.6077955,mouse_move,,*2585,*1729,
1788193080.6135185,mouse_move,,*2585,*1727,
1788193080.6231246,mouse_move,,*2585,*1725,
1788193081.1649616,mouse_move,,*2586,*1723,
1788193081.1718364,mouse_move,,*2585,*1721,
1788193081.1800551,mouse_move,,*2585,*1719,
1788193081.1889215,mouse_move,,*2584,*1717,
1788193081.1959047,mouse_move,,*2583,*1715,
1788193081.2040446,mouse_move,,*2582,*1714,
1788193081.2121944,mouse_move,,*2581,*1712,
1788193081.3983779,mouse_move,,*2579,*1711,
1788193081.4070661,mouse_move,,*2578,*1709,
1788193081.4138124,mouse_move,,*2577,*1708,
1788193081.4226892,mouse_move,,*2575,*1706,
1788193081.430506,mouse_move,,*2573,*1705,
1788193081.4431012,mouse_move,,*2572,*1704,
1788193081.9168873,mouse_move,,*2570,*1703,
1788193081.9218111,mouse_move,,*2569,*1702,
1788193081.9287765,mouse_move,,*2567,*1701,
1788193081.9370522,mouse_move,,*2565,*1701,
1788193081.9468477,mouse_move,,*2564,*1700,
1788193081.9564247,mouse_move,,*2562,*1699,
1788193081.9641986,mouse_move,,*2560,*1698,
1788193081.9714708,mouse_move,,*2559,*1697,
1788193081.9782572,mouse_move,,*2557,*1695,
1788193081.9868147,mouse_move,,*2555,*1694,
1788193081.9933038,mouse_move,,*2554,*1693,
1788193082.0014241,mouse_move,,*2552,*1693,
1788193082.009902,mouse_move,,*2551,*1692,
1788193082.0143018,mouse_move,,*2549,*1692,
