timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788193153.4607565,mouse_click,up,*2965,*1351,Button.left
1788193153.4842012,mouse_move,,*2960,*1353,
1788193153.5082734,mouse_move,,*2953,*1354,
1788193153.5312045,mouse_move,,*2946,*1356,
1788193153.5541897,mouse_move,,*2941,*1358,
1788193153.5765588,mouse_move,,*2935,*1359,
1788193153.6003783,mouse_move,,*2930,*1360,
1788193153.6226716,mouse_move,,*2925,*1362,
1788193153.6447363,mouse_move,,*2919,*1364,
1788193153.6690042,mouse_move,,*2912,*1366,
1788193153.6923063,mouse_move,,*2908,*1370,
1788193153.7139575,mouse_move,,*2905,*1376,
1788193153.7381101,mouse_move,,*2905,*1381,
1788193153.7604523,mouse_move,,*2907,*1387,
1788193153.7837155,mouse_move,,*2913,*1392,
1788193153.8054507,mouse_move,,*2918,*1395,
1788193153.8288927,mouse_move,,*2923,*1396,
1788193153.851521,mouse_move,,*2930,*1394,
1788193153.8731909,mouse_move,,*2936,*1391,
1788193153.8956716,mouse_move,,*2940,*1387,
1788193153.918242,mouse_move,,*2945,*1382,
1788193153.9409175,mouse_move,,*2948,*1376,
1788193153.962656,mouse_move,,*2949,*1370,
1788193153.9867635,mouse_move,,*2949,*1365,
1788193154.0108426,mouse_move,,*2949,*1359,
1788193154.0335116,mouse_move,,*2948,*1354,
1788193154.0561128,mouse_move,,*2947,*1349,
1788193154.0781097,mouse_move,,*2945,*1343,
1788193154.1025231,mouse_move,,*2943,*1338,
1788193154.1270447,mouse_move,,*2939,*1333,
1788193154.1497355,mouse_move,,*2935,*1329,
1788193154.1721768,mouse_move,,*2931,*1325,
1788193154.1943939,mouse_move,,*2927,*1321,
1788193154.2173388,mouse_move,,*2922,*1318,
1788193154.2403796,mouse_move,,*2916,*1314,
1788193154.2645314,mouse_move,,*2910,*1310,
1788193154.288487,mouse_move,,*2904,*1307,
1788193154.3115802,mouse_move,,*2897,*1304,
1788193154.3343933,mouse_move,,*2891,*1302,
1788193154.3574886,mouse_move,,*2884,*1299,
1788193154.3795197,mouse_move,,*2876,*1296,
1788193154.403578,mouse_move,,*2871,*1296,
1788193154.4266036,mouse_move,,*2864,*1295,
1788193154.4484129,mouse_move,,*2857,*1294,
1788193154.472918,mouse_move,,*2849,*1291,
1788193154.4956353,mouse_move,,*2841,*1289,
1788193154.5197699,mouse_move,,*2835,*1288,
1788193154.5427556,mouse_move,,*2828,*1285,
1788193154.5655777,mouse_move,,*2819,*1284,
1788193154.5899768,mouse_move,,*2812,*1280,
1788193154.6128011,mouse_move,,*2804,*1277,
1788193154.6356654,mouse_move,,*2796,*1274,
1788193154.6582212,mouse_move,,*2790,*1271,
1788193154.6801145,mouse_move,,*2782,*1268,
1788193154.7041101,mouse_move,,*2774,*1264,
1788193154.7257338,mouse_move,,*2767,*1261,
1788193154.7480786,mouse_move,,*2760,*1257,
1788193154.7704833,mouse_move,,*2754,*1253,
1788193154.7935529,mouse_move,,*2746,*1250,
1788193154.8176446,mouse_move,,*2740,*1247,
1788193154.8402815,mouse_move,,*2732,*1243,
1788193154.8645155,mouse_move,,*2726,*1240,
1788193154.888377,mouse_move,,*2718,*1237,
1788193154.9127347,mouse_move,,*2711,*1235,
1788193154.9363797,mouse_move,,*2703,*1233,
1788193154.9583738,mouse_move,,*2696,*1231,
1788193154.9808643,mouse_move,,*2688,*1228,
1788193155.003664,mouse_move,,*2679,*1225,
1788193155.0276847,mouse_move,,*2672,*1222,
1788193155.0522077,mouse_move,,*2665,*1219,
1788193155.0753317,mouse_move,,*2657,*1215,
1788193155.0986118,mouse_move,,*2650,*1212,
1788193155.1224723,mouse_move,,*2643,*1209,
1788193155.1469917,mouse_move,,*2635,*1206,
1788193155.169142,mouse_move,,*2627,*1204,
1788193155.1919553,mouse_move,,*2618,*1202,
1788193155.2164433,mouse_move,,*2609,*1199,
1788193155.238764,mouse_move,,*2602,*1195,
1788193155.2618811,mouse_move,,*2593,*1192,
1788193155.2838101,mouse_move,,*2585,*1188,
1788193155.3069942,mouse_move,,*2577,*1185,
1788193155.3309643,mouse_move,,*2569,*1181,
1788193155.3525476,mouse_move,,*2562,*1177,
1788193155.3756924,mouse_move,,*2553,*1173,
1788193155.3999236,mouse_move,,*2545,*1170,
1788193155.4240205,mouse_move,,*2535,*1168,
1788193155.4470365,mouse_move,,*2526,*1165,
1788193155.4689479,mouse_move,,*2519,*1162,
1788193155.4912148,mouse_move,,*2512,*1160,
1788193155.5138543,mouse_move,,*2503,*1157,
1788193155.5369785,mouse_move,,*2496,*1156,
1788193155.5589828,mouse_move,,*2489,*1154,
1788193155.5828252,mouse_move,,*2483,*1150,
1788193155.606679,mouse_move,,*2476,*1146,
1788193155.6294229,mouse_move,,*2469,*1144,
1788193155.6538343,mouse_move,,*2462,*1141,
1788193155.6766942,mouse_move,,*2456,*1139,
1788193155.6995077,mouse_move,,*2449,*1136,
1788193155.7237449,mouse_move,,*2443,*1134,
1788193155.7453465,mouse_move,,*2436,*1132,
1788193155.7690558,mouse_move,,*2430,*1130,
1788193155.7921767,mouse_move,,*2425,*1127,
1788193155.8161552,mouse_move,,*2418,*1124,
1788193155.8398819,mouse_move,,*2412,*1123,
1788193155.8627825,mouse_move,,*2407,*1121,
1788193155.8872685,mouse_move,,*2402,*1119,
1788193155.9114637,mouse_move,,*2397,*1117,
1788193155.9343314,mouse_move,,*2391,*1113,
1788193155.9587247,mouse_move,,*2386,*1112,
1788193155.9809036,mouse_move,,*2380,*1109,
1788193156.0039454,mouse_move,,*2374,*1108,
1788193156.0266104,mouse_move,,*2369,*1106,
1788193156.0491927,mouse_move,,*2363,*1104,
1788193156.0726864,mouse_move,,*2358,*1102,
1788193156.0955465,mouse_move,,*2353,*1101,
1788193156.1189275,mouse_click,down,*2353,*1101,Button.left
1788193156.1420991,mouse_click,up,*2353,*1101,Button.left
1788193156.1637611,mouse_move,,*2347,*1099,
1788193156.1873467,mouse_move,,*2341,*1097,
1788193156.2095139,mouse_move,,*2336,*1095,
1788193156.2326627,mouse_move,,*2332,*1093,
1788193156.2560589,mouse_move,,*2325,*1093,
1788193156.2778034,mouse_move,,*2322,*1091,
1788193156.3004847,mouse_move,,*2316,*1090,
1788193156.3245988,mouse_move,,*2310,*1088,
1788193156.3466213,mouse_move,,*2304,*1086,
1788193156.3688114,mouse_move,,*2299,*1084,
1788193156.3918779,mouse_move,,*2293,*1083,
1788193156.4136925,mouse_move,,*2287,*1081,
1788193156.4379759,mouse_move,,*2281,*1079,
1788193156.4604056,mouse_move,,*2276,*1077,
1788193156.4835634,mouse_move,,*2271,*1076,
1788193156.5067508,mouse_move,,*2266,*1075,
1788193156.5307083,mouse_move,,*2261,*1073,
1788193156.552465,mouse_move,,*2256,*1071,
1788193156.5745099,mouse_move,,*2252,*1069,
1788193156.5987599,mouse_move,,*2247,*1067,
1788193156.6230886,mouse_move,,*2243,*1065,
1788193156.6473517,mouse_move,,*2238,*1064,
1788193156.6708462,mouse_move,,*2235,*1063,
1788193156.6939299,mouse_move,,*2231,*1062,
1788193156.7156029,mouse_move,,*2228,*1060,
1788193156.7383149,mouse_move,,*2225,*1058,
1788193156.7602675,mouse_move,,*2220,*1058,
1788193156.7830768,mouse_move,,*2217,*1056,
1788193156.8056669,mouse_move,,*2212,*1053,
1788193156.8285835,mouse_move,,*2208,*1052,
1788193156.8516774,mouse_move,,*2201,*1051,
1788193156.8734272,mouse_move,,*2197,*1049,
1788193156.8967035,mouse_move,,*2192,*1048,
1788193156.919966,mouse_move,,*2187,*1046,
1788193156.9415095,mouse_move,,*2182,*1044,
1788193156.9647546,mouse_move,,*2177,*1043,
1788193156.9866266,mouse_move,,*2172,*1042,
1788193157.0108154,mouse_move,,*2168,*1040,
1788193157.0326705,mouse_move,,*2162,*1039,
1788193157.0561056,mouse_move,,*2157,*1039,
