timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788193264.8443122,mouse_click,up,*2959,*1501,Button.left
1788193267.6729863,mouse_move,,*2957,*1508,
1788193267.7263899,mouse_move,,*2958,*1514,
1788193267.7517905,mouse_move,,*2962,*1519,
1788193267.7884297,mouse_move,,*2964,*1523,
1788193267.8354399,mouse_move,,*2965,*1529,
1788193267.8462546,mouse_move,,*2964,*1535,
1788193267.8657808,mouse_move,,*2962,*1540,
1788193267.8923829,mouse_move,,*2958,*1544,
1788193267.9216752,mouse_move,,*2955,*1550,
1788193267.960779,mouse_move,,*2951,*1555,
1788193267.9922435,mouse_move,,*2947,*1559,
1788193268.0174899,mouse_move,,*2942,*1561,
1788193268.0361445,mouse_move,,*2937,*1563,
1788193268.0657158,mouse_move,,*2933,*1564,
1788193268.0841973,mouse_move,,*2928,*1564,
1788193268.1226771,mouse_move,,*2924,*1565,
1788193268.147162,mouse_move,,*2919,*1566,
1788193268.1689916,mouse_move,,*2915,*1566,
1788193268.1939867,mouse_move,,*2909,*1566,
1788193268.235955,mouse_move,,*2904,*1565,
1788193268.2665329,mouse_move,,*2898,*1565,
1788193268.2946942,mouse_move,,*2893,*1568,
1788193268.340961,mouse_move,,*2890,*1571,
1788193268.3620765,mouse_move,,*2889,*1578,
1788193268.3876686,mouse_move,,*2890,*1584,
1788193268.4160759,mouse_move,,*2894,*1588,
1788193268.4319413,mouse_move,,*2899,*1592,
1788193268.4628577,mouse_move,,*2904,*1591,
1788193268.4914246,mouse_move,,*2909,*1591,
1788193268.5179486,mouse_move,,*2914,*1588,
1788193268.547087,mouse_move,,*2918,*1586,
1788193268.5715644,mouse_move,,*2920,*1582,
1788193268.5919309,mouse_move,,*2922,*1577,
1788193268.6196313,mouse_move,,*2923,*1573,
1788193268.6456037,mouse_move,,*2922,*1568,
1788193268.6707766,mouse_move,,*2921,*1562,
1788193268.6991708,mouse_move,,*2919,*1557,
1788193268.7146356,mouse_move,,*2916,*1554,
1788193268.7501733,mouse_move,,*2913,*1549,
1788193268.7690022,mouse_move,,*2908,*1545,
1788193268.7863324,mouse_move,,*2904,*1543,
1788193268.8190255,mouse_move,,*2898,*1539,
1788193268.8556228,mouse_move,,*2894,*1536,
1788193268.8790829,mouse_move,,*2890,*1535,
1788193268.9037595,mouse_move,,*2885,*1532,
1788193268.9352567,mouse_move,,*2881,*1530,
1788193268.9652607,mouse_move,,*2881,*1524,
1788193269.0081468,mouse_move,,*2877,*1523,
1788193269.0264373,mouse_move,,*2872,*1522,
1788193269.0485656,mouse_move,,*2869,*1521,
1788193269.0696039,mouse_move,,*2865,*1518,
1788193269.0950367,mouse_move,,*2863,*1515,
1788193269.1217434,mouse_move,,*2860,*1513,
1788193269.1719437,mouse_move,,*2856,*1511,
1788193269.2048109,mouse_move,,*2853,*1508,
1788193269.2238479,mouse_move,,*2850,*1505,
1788193269.2481439,mouse_move,,*2847,*1502,
1788193269.2738285,mouse_move,,*2843,*1500,
1788193269.2982092,mouse_move,,*2839,*1498,
1788193269.3175254,mouse_move,,*2836,*1495,
1788193269.3414061,mouse_move,,*2834,*1492,
1788193269.3577302,mouse_move,,*2832,*1489,
1788193269.3847749,mouse_move,,*2830,*1487,
1788193269.4123762,mouse_move,,*2826,*1484,
1788193269.4446983,mouse_move,,*2824,*1481,
1788193269.4727921,mouse_move,,*2820,*1479,
1788193269.5078757,mouse_move,,*2817,*1477,
1788193269.5456309,mouse_move,,*2814,*1475,
1788193269.5855477,mouse_move,,*2811,*1475,
1788193269.6096685,mouse_move,,*2808,*1472,
1788193269.6305499,mouse_move,,*2806,*1472,
1788193269.6569133,mouse_move,,*2803,*1470,
1788193269.6905463,mouse_move,,*2801,*1470,
1788193269.7136431,mouse_move,,*2796,*1467,
1788193269.7365072,mouse_move,,*2793,*1466,
1788193269.7740002,mouse_move,,*2789,*1466,
1788193269.7976129,mouse_move,,*2784,*1465,
1788193269.8354552,mouse_move,,*2781,*1464,
1788193269.8543937,mouse_move,,*2777,*1462,
1788193269.8897636,mouse_move,,*2773,*1463,
1788193269.9243062,mouse_move,,*2770,*1462,
1788193269.9577973,mouse_move,,*2766,*1461,
1788193269.9833012,mouse_move,,*2763,*1460,
1788193270.0257895,mouse_move,,*2761,*1459,
1788193270.0521469,mouse_move,,*2759,*1459,
1788193270.0690932,mouse_move,,*2756,*1457,
1788193270.0886974,mouse_move,,*2753,*1458,
1788193270.1413538,mouse_move,,*2750,*1456,
1788193270.1653774,mouse_move,,*2747,*1455,
1788193270.1872978,mouse_move,,*2745,*1454,
1788193270.2016776,mouse_move,,*2741,*1452,
1788193270.2254093,mouse_move,,*2739,*1448,
1788193270.2696545,mouse_move,,*2737,*1446,
1788193270.292527,mouse_move,,*2737,*1440,
1788193270.3153331,mouse_move,,*2733,*1437,
1788193270.3380039,mouse_move,,*2731,*1434,
1788193270.3564739,mouse_move,,*2729,*1429,
1788193270.3826575,mouse_move,,*2727,*1426,
1788193270.4205301,mouse_move,,*2726,*1422,
1788193270.4480612,mouse_move,,*2726,*1416,
1788193270.4707334,mouse_move,,*2725,*1413,
1788193270.4934518,mouse_move,,*2725,*1408,
1788193270.5223114,mouse_move,,*2724,*1403,
1788193270.5426579,mouse_move,,*2722,*1398,
1788193270.5848353,mouse_move,,*2722,*1393,
1788193270.5996704,mouse_move,,*2721,*1388,
1788193270.6413488,mouse_move,,*2721,*1383,
1788193270.6635065,mouse_move,,*2720,*1379,
1788193270.6826465,mouse_move,,*2719,*1374,
1788193270.720284,mouse_move,,*2719,*1369,
1788193270.7416601,mouse_move,,*2717,*1367,
1788193270.7658989,mouse_move,,*2716,*1363,
1788193270.7845652,mouse_move,,*2715,*1359,
1788193270.8154814,mouse_move,,*2713,*1355,
1788193270.9039195,mouse_click,down,*2713,*1355,Button.left
1788193271.0272822,mouse_click,up,*2713,*1356,Button.left
1788193271.0572739,mouse_move,,*2711,*1352,
1788193271.1081333,mouse_move,,*2709,*1347,
1788193271.1277287,mouse_move,,*2708,*1344,
1788193271.1504188,mouse_move,,*2704,*1338,
1788193271.179564,mouse_move,,*2703,*1334,
1788193271.2073822,mouse_move,,*2700,*1329,
1788193271.2264664,mouse_move,,*2700,*1326,
1788193271.246412,mouse_move,,*2699,*1322,
1788193271.2776239,mouse_move,,*2697,*1317,
1788193271.3026037,mouse_move,,*2696,*1312,
1788193271.3205497,mouse_move,,*2694,*1308,
1788193271.3403225,mouse_move,,*2695,*1305,
1788193271.3577015,mouse_move,,*2694,*1301,
1788193271.391216,mouse_move,,*2694,*1298,
1788193271.4268241,mouse_move,,*2694,*1294,
1788193271.4608591,mouse_move,,*2694,*1290,
1788193271.487644,mouse_move,,*2694,*1287,
1788193271.5074284,mouse_move,,*2695,*1283,
1788193271.5337372,mouse_move,,*2694,*1280,
1788193271.5711734,mouse_move,,*2695,*1276,
1788193271.6030276,mouse_move,,*2697,*1273,
1788193271.62412,mouse_move,,*2699,*1269,
1788193271.6475236,mouse_move,,*2702,*1268,
1788193271.6665857,mouse_move,,*2706,*1264,
1788193271.6848774,mouse_move,,*2711,*1259,
1788193271.7389386,mouse_move,,*2712,*1256,
1788193271.7693965,mouse_move,,*2711,*1253,
1788193271.8038642,mouse_move,,*2712,*1250,
1788193271.8233535,mouse_move,,*2712,*1246,
1788193271.8491747,mouse_move,,*2713,*1242,
1788193271.8765147,mouse_move,,*2713,*1238,
1788193271.9046884,mouse_move,,*2711,*1234,
1788193271.9388907,mouse_move,,*2710,*1230,
1788193271.9596093,mouse_move,,*2709,*1226,
1788193272.0264823,mouse_move,,*2706,*1222,
1788193272.0599234,mouse_move,,*2703,*1218,
1788193272.0929351,mouse_move,,*2700,*1215,
1788193272.1131513,mouse_move,,*2697,*1213,
1788193272.1478069,mouse_move,,*2697,*1210,
1788193272.1825609,mouse_move,,*2697,*1207,
1788193272.2101746,mouse_move,,*2699,*1203,
1788193272.2271547,mouse_move,,*2702,*1202,
1788193272.2605188,mouse_move,,*2704,*1200,
1788193272.281497,mouse_move,,*2706,*1200,
1788193272.3122191,mouse_move,,*2708,*1200,
1788193272.3545356,mouse_move,,*2711,*1199,
1788193272.3781412,mouse_move,,*2712,*1198,
1788193272.8642211,mouse_move,,*2713,*1196,
1788193272.8852675,mouse_move,,*2715,*1195,
1788193272.9135435,mouse_move,,*2715,*1192,
1788193272.9392884,mouse_move,,*2717,*1191,
1788193272.95593,mouse_move,,*2718,*1188,
1788193272.9777949,mouse_move,,*2720,*1186,
1788193273.0171454,mouse_move,,*2720,*1183,
1788193273.0521784,mouse_move,,*2720,*1181,
1788193273.0931101,mouse_move,,*2722,*1179,
1788193273.1285942,mouse_move,,*2723,*1178,
1788193273.1433265,mouse_move,,*2723,*1177,
1788193273.1650867,mouse_move,,*2724,*1175,
1788193273.1974485,mouse_move,,*2723,*1173,
1788193273.2221701,mouse_move,,*2724,*1171,
1788193273.2381465,mouse_move,,*2725,*1169,
1788193273.2765877,mouse_move,,*2725,*1167,
1788193273.3080828,mouse_move,,*2725,*1166,
1788193273.3684723,mouse_move,,*2724,*1166,
1788193273.3924639,mouse_move,,*2725,*1165,
1788193273.4147069,mouse_move,,*2724,*1163,
1788193273.4405713,mouse_move,,*2724,*1162,
1788193273.4571557,mouse_move,,*2724,*1161,
1788193273.4898939,mouse_move,,*2723,*1159,
1788193273.5187471,mouse_move,,*2721,*1158,
1788193273.5404763,mouse_move,,*2723,*1155,
1788193273.5644774,mouse_move,,*2721,*1154,
1788193273.5893271,mouse_move,,*2718,*1154,
1788193273.6123841,mouse_move,,*2718,*1152,
1788193273.6378326,mouse_move,,*2716,*1151,
1788193273.6630459,mouse_move,,*2715,*1150,
1788193273.6891465,mouse_move,,*2714,*1149,
1788193273.7103271,mouse_move,,*2712,*1148,
1788193273.7310808,mouse_move,,*2712,*1147,
1788193273.7518051,mouse_move,,*2712,*1146,
1788193273.7790337,mouse_move,,*2711,*1147,
1788193273.7984002,mouse_move,,*2710,*1146,
1788193273.8473821,mouse_move,,*2710,*1145,
1788193274.2841616,mouse_move,,*2710,*1144,
1788193274.3065915,mouse_move,,*2710,*1142,
1788193274.3354764,mouse_move,,*2710,*1141,
1788193274.3577726,mouse_move,,*2710,*1140,
1788193274.3932052,mouse_move,,*2710,*1138,
1788193274.4352026,mouse_move,,*2711,*1136,
1788193274.4826229,mouse_move,,*2711,*1135,
1788193274.5057614,mouse_move,,*2711,*1133,
1788193274.5497179,mouse_move,,*2712,*1132,
1788193274.5838339,mouse_move,,*2712,*1131,
1788193274.6021481,mouse_move,,*2713,*1131,
1788193274.6188402,mouse_move,,*2713,*1130,
1788193274.6379671,mouse_move,,*2714,*1129,
1788193274.6744506,mouse_move,,*2716,*1127,
1788193274.6934948,mouse_move,,*2717,*1127,
1788193274.7092369,mouse_move,,*2718,*1126,
1788193274.7300234,mouse_move,,*2718,*1125,
1788193274.7571516,mouse_move,,*2718,*1125,
1788193274.7856014,mouse_move,,*2719,*1123,
1788193274.8303645,mouse_move,,*2721,*1122,
1788193274.8945765,mouse_move,,*2721,*1121,
1788193274.9212632,mouse_move,,*2722,*1120,
1788193274.9424655,mouse_move,,*2722,*1119,
1788193274.9647312,mouse_move,,*2723,*1118,
1788193274.9934313,mouse_move,,*2723,*1117,
1788193275.0407774,mouse_move,,*2723,*1116,
1788193275.0650775,mouse_move,,*2724,*1116,
1788193275.078923,mouse_move,,*2724,*1115,
1788193275.1095672,mouse_move,,*2724,*1114,
1788193275.1307712,mouse_move,,*2725,*1112,
1788193275.1554115,mouse_move,,*2724,*1111,
1788193275.1925213,mouse_move,,*2724,*1110,
1788193275.2077041,mouse_move,,*2724,*1108,
1788193275.2438025,mouse_move,,*2724,*1106,
1788193275.2624817,mouse_move,,*2727,*1103,
1788193275.2840452,mouse_move,,*2725,*1103,
1788193275.3133802,mouse_move,,*2722,*1103,
