timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788193302.3682797,mouse_click,up,*2798,*1760,Button.left
1788193302.3712797,mouse_move,,*2795,*1760,
1788193302.3824413,mouse_move,,*2793,*1760,
1788193302.3963337,mouse_move,,*2795,*1760,
1788193302.4211631,mouse_move,,*2799,*1760,
1788193302.4435325,mouse_move,,*2805,*1760,
1788193302.4616337,mouse_move,,*2810,*1760,
1788193302.4843895,mouse_move,,*2815,*1757,
1788193302.529443,mouse_move,,*2819,*1755,
1788193302.5449259,mouse_move,,*2821,*1753,
1788193302.56236,mouse_move,,*2823,*1748,
1788193302.5747344,mouse_move,,*2825,*1745,
1788193302.5883422,mouse_move,,*2826,*1740,
1788193302.6073072,mouse_move,,*2826,*1736,
1788193302.6222169,mouse_move,,*2827,*1732,
1788193302.6456113,mouse_move,,*2827,*1727,
1788193302.673821,mouse_move,,*2825,*1723,
1788193302.6827438,mouse_move,,*2824,*1720,
1788193302.6927693,mouse_move,,*2823,*1718,
1788193302.7049506,mouse_move,,*2821,*1714,
1788193302.7246969,mouse_move,,*2820,*1712,
1788193302.741046,mouse_move,,*2818,*1710,
1788193302.7538948,mouse_move,,*2815,*1708,
1788193302.7710903,mouse_move,,*2814,*1707,
1788193302.7858384,mouse_move,,*2813,*1706,
1788193302.8037486,mouse_move,,*2811,*1705,
1788193302.8170719,mouse_move,,*2809,*1703,
1788193302.8242702,mouse_move,,*2807,*1702,
1788193302.8503575,mouse_move,,*2805,*1701,
1788193302.8763056,mouse_move,,*2803,*1700,
1788193302.8948803,mouse_move,,*2801,*1699,
1788193302.9054391,mouse_move,,*2799,*1698,
1788193302.9178498,mouse_move,,*2797,*1698,
1788193302.9471719,mouse_move,,*2796,*1697,
1788193302.9633036,mouse_move,,*2793,*1696,
1788193302.979166,mouse_move,,*2792,*1695,
1788193302.9930377,mouse_move,,*2790,*1693,
1788193303.2097745,mouse_move,,*2789,*1693,
1788193303.2257574,mouse_move,,*2788,*1693,
1788193303.2510495,mouse_move,,*2785,*1692,
1788193303.2714357,mouse_move,,*2785,*1692,
1788193303.2839172,mouse_move,,*2783,*1691,
1788193303.3074772,mouse_move,,*2781,*1691,
1788193303.328506,mouse_move,,*2780,*1691,
1788193303.345341,mouse_move,,*2779,*1690,
1788193303.3732274,mouse_move,,*2777,*1690,
1788193303.3896809,mouse_move,,*2776,*1688,
1788193303.4004378,mouse_move,,*2775,*1688,
1788193303.418453,mouse_move,,*2774,*1689,
1788193303.4396544,mouse_move,,*2773,*1689,
1788193303.4537365,mouse_move,,*2771,*1689,
1788193303.4747932,mouse_move,,*2770,*1688,
1788193303.4971755,mouse_move,,*2769,*1687,
1788193303.5137656,mouse_move,,*2768,*1687,
1788193303.5258439,mouse_move,,*2767,*1687,
1788193303.5433598,mouse_move,,*2765,*1687,
1788193303.5629282,mouse_move,,*2765,*1687,
1788193303.5753663,mouse_move,,*2763,*1687,
1788193303.6097226,mouse_move,,*2762,*1686,
1788193303.6298206,mouse_move,,*2760,*1686,
1788193303.6631396,mouse_move,,*2759,*1687,
1788193303.6799841,mouse_move,,*2758,*1686,
1788193303.7026381,mouse_move,,*2756,*1686,
