timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788193340.013108,mouse_click,up,*2799,*1466,Button.left
1788193340.1845748,mouse_move,,*2796,*1466,
1788193340.187964,mouse_move,,*2795,*1468,
1788193340.1941791,mouse_move,,*2795,*1472,
1788193340.2006421,mouse_move,,*2796,*1475,
1788193340.2102766,mouse_move,,*2797,*1478,
1788193340.2168801,mouse_move,,*2800,*1481,
1788193340.2266495,mouse_move,,*2804,*1484,
1788193340.2349527,mouse_move,,*2807,*1487,
1788193340.2385569,mouse_move,,*2810,*1490,
1788193340.243886,mouse_move,,*2814,*1491,
1788193340.250737,mouse_move,,*2818,*1492,
1788193340.2598,mouse_move,,*2821,*1494,
1788193340.2654939,mouse_move,,*2823,*1496,
1788193340.2719121,mouse_move,,*2825,*1498,
1788193340.2809687,mouse_move,,*2827,*1502,
1788193340.2846615,mouse_move,,*2827,*1506,
1788193340.2913222,mouse_move,,*2826,*1509,
1788193340.2980676,mouse_move,,*2824,*1513,
1788193340.3035111,mouse_move,,*2821,*1516,
1788193340.3101373,mouse_move,,*2819,*1518,
1788193340.3146827,mouse_move,,*2816,*1521,
1788193340.3242075,mouse_move,,*2813,*1523,
1788193340.3343029,mouse_move,,*2810,*1524,
1788193340.3418725,mouse_move,,*2807,*1526,
1788193340.3502593,mouse_move,,*2803,*1526,
1788193340.3571212,mouse_move,,*2800,*1526,
1788193340.3662858,mouse_move,,*2797,*1526,
1788193340.3732874,mouse_move,,*2793,*1529,
1788193340.3835988,mouse_move,,*2791,*1530,
1788193340.3902299,mouse_move,,*2789,*1531,
1788193340.4016879,mouse_move,,*2783,*1534,
1788193340.4088123,mouse_move,,*2780,*1536,
1788193340.5767219,mouse_move,,*2777,*1538,
1788193340.5802817,mouse_move,,*2774,*1540,
1788193340.5884531,mouse_move,,*2770,*1543,
1788193340.599287,mouse_move,,*2765,*1546,
1788193340.6068308,mouse_move,,*2762,*1550,
1788193340.6148036,mouse_move,,*2757,*1553,
1788193340.6221466,mouse_move,,*2753,*1556,
1788193340.6305079,mouse_move,,*2749,*1560,
1788193341.0587177,mouse_move,,*2743,*1563,
1788193341.5206618,mouse_move,,*2739,*1567,
1788193341.5251627,mouse_move,,*2733,*1569,
1788193341.5306809,mouse_move,,*2730,*1571,
1788193341.5380058,mouse_move,,*2725,*1574,
1788193341.5434916,mouse_move,,*2720,*1576,
1788193341.5510523,mouse_move,,*2714,*1580,
1788193341.5606842,mouse_move,,*2709,*1582,
1788193341.5646753,mouse_move,,*2703,*1583,
1788193341.5701036,mouse_move,,*2697,*1586,
1788193341.5752759,mouse_move,,*2690,*1587,
1788193341.5790336,mouse_move,,*2683,*1589,
1788193341.584399,mouse_move,,*2675,*1588,
1788193341.5901542,mouse_move,,*2667,*1587,
1788193341.5955961,mouse_move,,*2659,*1587,
1788193341.6073537,mouse_move,,*2652,*1586,
1788193341.6136894,mouse_move,,*2644,*1584,
1788193341.6228664,mouse_move,,*2638,*1583,
1788193341.6327603,mouse_move,,*2629,*1582,
1788193341.6411195,mouse_move,,*2623,*1581,
1788193341.6484711,mouse_move,,*2616,*1578,
