timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788193376.7714448,mouse_click,up,*2874,*1275,Button.left
1788193377.3302901,mouse_move,,*2874,*1272,
1788193377.3625193,mouse_move,,*2865,*1270,
1788193377.3950028,mouse_move,,*2858,*1268,
1788193377.4095709,mouse_move,,*2851,*1268,
1788193377.4536381,mouse_move,,*2845,*1269,
1788193377.4738896,mouse_move,,*2838,*1268,
1788193377.4961185,mouse_move,,*2832,*1266,
1788193377.5232177,mouse_move,,*2825,*1266,
1788193377.5537293,mouse_move,,*2818,*1265,
1788193377.5769548,mouse_move,,*2811,*1265,
1788193377.6018267,mouse_move,,*2806,*1265,
1788193377.6310465,mouse_move,,*2800,*1265,
1788193377.6646917,mouse_move,,*2796,*1265,
1788193377.7151153,mouse_move,,*2790,*1266,
1788193377.7392809,mouse_move,,*2785,*1266,
1788193377.774188,mouse_move,,*2779,*1266,
1788193377.7872362,mouse_move,,*2772,*1266,
1788193377.8194907,mouse_move,,*2766,*1267,
1788193377.845746,mouse_move,,*2759,*1267,
1788193377.8827064,mouse_move,,*2753,*1267,
1788193377.9070628,mouse_move,,*2746,*1267,
1788193377.9362402,mouse_move,,*2739,*1268,
1788193377.9702914,mouse_move,,*2732,*1269,
1788193377.9964714,mouse_move,,*2725,*1270,
1788193378.0194755,mouse_move,,*2719,*1272,
1788193378.046273,mouse_move,,*2713,*1277,
1788193378.0808225,mouse_move,,*2709,*1280,
1788193378.1095195,mouse_move,,*2706,*1284,
1788193378.1302736,mouse_move,,*2700,*1290,
1788193378.1530969,mouse_move,,*2694,*1295,
1788193378.1766005,mouse_move,,*2687,*1299,
1788193378.2066793,mouse_move,,*2684,*1307,
1788193378.2519965,mouse_move,,*2684,*1314,
1788193378.27087,mouse_move,,*2688,*1322,
1788193378.2928593,mouse_move,,*2694,*1329,
1788193378.3118219,mouse_move,,*2703,*1333,
1788193378.3272972,mouse_move,,*2714,*1334,
1788193378.356138,mouse_move,,*2725,*1333,
1788193378.3867574,mouse_move,,*2734,*1331,
1788193378.4039171,mouse_move,,*2743,*1324,
1788193378.4325879,mouse_move,,*2750,*1317,
1788193378.461607,mouse_move,,*2756,*1308,
1788193378.5008647,mouse_move,,*2760,*1297,
1788193378.535867,mouse_move,,*2762,*1286,
1788193378.5551279,mouse_move,,*2764,*1277,
1788193378.5929065,mouse_move,,*2763,*1267,
1788193378.619724,mouse_move,,*2762,*1258,
