timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788199631.4085703,mouse_move,,1309,1621,
1788199631.4165647,mouse_move,,1294,1614,
1788199631.4245915,mouse_move,,1277,1605,
1788199631.432522,mouse_move,,1254,1590,
1788199631.4405475,mouse_move,,1224,1567,
1788199631.4484901,mouse_move,,1185,1540,
1788199631.4565816,mouse_move,,1145,1506,
1788199631.464553,mouse_move,,1101,1474,
1788199631.4725306,mouse_move,,1068,1439,
1788199631.4806786,mouse_move,,1050,1419,
1788199631.4885666,mouse_move,,1037,1399,
1788199631.4965322,mouse_move,,1029,1389,
1788199631.5045087,mouse_move,,1022,1380,
1788199631.5125144,mouse_move,,1016,1370,
1788199631.5206122,mouse_move,,1016,1368,
1788199631.5285227,mouse_move,,1015,1365,
1788199631.5953753,mouse_move,,1013,1339,
1788199631.5955818,mouse_move,,1093,1260,
1788199631.600533,mouse_move,,1127,1246,
1788199631.6085835,mouse_move,,1165,1223,
1788199631.6165397,mouse_move,,1199,1210,
1788199631.6244705,mouse_move,,1238,1196,
1788199631.6325219,mouse_move,,1283,1181,
1788199631.640541,mouse_move,,1326,1170,
1788199631.6485138,mouse_move,,1363,1162,
1788199631.6565802,mouse_move,,1388,1153,
1788199631.6645179,mouse_move,,1415,1146,
1788199631.6725123,mouse_move,,1437,1142,
1788199631.6805089,mouse_move,,1453,1135,
1788199631.6885102,mouse_move,,1467,1131,
1788199631.6965163,mouse_move,,1477,1126,
1788199631.7044837,mouse_move,,1481,1123,
1788199631.712521,mouse_move,,1485,1123,
1788199631.7205412,mouse_move,,1487,1123,
1788199631.7285414,mouse_move,,1488,1122,
1788199631.736476,mouse_move,,1490,1122,
1788199631.8886478,mouse_move,,1492,1119,
1788199631.8965707,mouse_move,,1492,1111,
1788199631.904473,mouse_move,,1492,1090,
1788199631.9125247,mouse_move,,1500,1065,
1788199631.9205186,mouse_move,,1520,1038,
1788199631.9285195,mouse_move,,1535,1008,
1788199631.936486,mouse_move,,1560,960,
1788199631.9444962,mouse_move,,1578,920,
1788199631.9525092,mouse_move,,1602,878,
1788199631.9605832,mouse_move,,1621,846,
1788199631.9685705,mouse_move,,1636,815,
1788199631.9765208,mouse_move,,1659,778,
1788199631.9845386,mouse_move,,1670,753,
1788199631.9924855,mouse_move,,1681,731,
1788199632.0005043,mouse_move,,1695,708,
1788199632.0085096,mouse_move,,1705,691,
1788199632.016492,mouse_move,,1718,674,
1788199632.02446,mouse_move,,1726,667,
1788199632.0565789,mouse_move,,1730,664,
1788199632.0646336,mouse_move,,1731,662,
1788199632.1449652,mouse_move,,1732,662,
1788199632.2650585,mouse_move,,1734,663,
1788199632.2731805,mouse_move,,1734,664,
1788199632.2805905,mouse_move,,1736,668,
1788199632.2965264,mouse_move,,1736,670,
1788199632.3126776,mouse_move,,1736,671,
1788199632.8408744,mouse_move,,1736,672,
1788199632.8485913,mouse_move,,1736,674,
1788199632.8566797,mouse_move,,1736,676,
1788199633.1292353,mouse_move,,1737,677,
1788199633.1366336,mouse_move,,1762,677,
1788199633.1445389,mouse_move,,1786,677,
1788199633.1525345,mouse_move,,1816,671,
1788199633.1605582,mouse_move,,1843,664,
1788199633.1684678,mouse_move,,1862,662,
1788199633.1764855,mouse_move,,1887,651,
1788199633.1844444,mouse_move,,1912,642,
1788199633.192449,mouse_move,,1939,633,
1788199633.2004805,mouse_move,,1969,620,
1788199633.2085302,mouse_move,,1998,608,
1788199633.21649,mouse_move,,2018,600,
1788199633.224443,mouse_move,,2035,591,
1788199633.2324803,mouse_move,,2049,583,
1788199633.2405176,mouse_move,,2064,577,
1788199633.2485158,mouse_move,,2073,573,
1788199633.2565947,mouse_move,,2077,572,
1788199633.2644916,mouse_move,,2080,569,
1788199633.272533,mouse_move,,2083,567,
1788199633.3686154,mouse_click,down,2083,567,Button.left
1788199633.4735837,mouse_click,up,2083,567,Button.left
1788199633.5847423,mouse_move,,2083,567,
1788199633.6487138,mouse_move,,2082,569,
1788199633.7050738,mouse_move,,2078,569,
1788199633.7128057,mouse_move,,2075,569,
1788199633.7287965,mouse_move,,2071,569,
1788199633.7365499,mouse_move,,2067,569,
1788199633.7448156,mouse_move,,2054,569,
1788199633.752872,mouse_move,,2038,569,
1788199633.760801,mouse_move,,2017,569,
1788199633.7685297,mouse_move,,1991,569,
1788199633.776835,mouse_move,,1964,565,
1788199633.7848687,mouse_move,,1921,554,
1788199633.7925239,mouse_move,,1861,538,
1788199633.8008363,mouse_move,,1783,531,
1788199633.8088408,mouse_move,,1699,516,
1788199633.8168983,mouse_move,,1598,501,
1788199633.8244963,mouse_move,,1498,489,
1788199633.832562,mouse_move,,1382,473,
1788199633.8405445,mouse_move,,1265,453,
1788199633.848526,mouse_move,,1159,437,
1788199633.85667,mouse_move,,1038,421,
1788199633.8650162,mouse_move,,926,401,
1788199633.8725548,mouse_move,,826,389,
1788199633.8804812,mouse_move,,736,374,
1788199633.8885698,mouse_move,,657,360,
1788199633.896504,mouse_move,,568,353,
1788199633.9045067,mouse_move,,496,346,
1788199633.9124854,mouse_move,,433,336,
1788199633.9204926,mouse_move,,366,329,
1788199633.9284782,mouse_move,,327,329,
1788199633.9364994,mouse_move,,282,326,
1788199633.9445736,mouse_move,,238,326,
1788199633.9525275,mouse_move,,205,326,
1788199633.9605696,mouse_move,,166,328,
1788199633.968501,mouse_move,,144,334,
1788199633.9765213,mouse_move,,122,341,
1788199633.9845386,mouse_move,,105,350,
1788199633.9925282,mouse_move,,91,356,
1788199634.0004997,mouse_move,,71,367,
1788199634.0085025,mouse_move,,62,372,
1788199634.0165203,mouse_move,,49,380,
1788199634.0247552,mouse_move,,45,383,
1788199634.0324662,mouse_move,,41,385,
1788199634.0405018,mouse_move,,36,386,
1788199634.056549,mouse_move,,35,387,
1788199634.0645201,mouse_move,,34,388,
1788199634.080892,mouse_move,,31,390,
1788199634.0965436,mouse_move,,30,391,
1788199634.1687243,mouse_move,,33,391,
1788199634.176726,mouse_move,,41,390,
1788199634.1845362,mouse_move,,53,386,
1788199634.1925046,mouse_move,,67,384,
1788199634.2005594,mouse_move,,81,380,
1788199634.2084937,mouse_move,,100,376,
1788199634.2164943,mouse_move,,119,374,
1788199634.2245164,mouse_move,,138,372,
1788199634.232449,mouse_move,,154,372,
1788199634.2404926,mouse_move,,172,372,
1788199634.2484992,mouse_move,,194,372,
1788199634.2564993,mouse_move,,212,372,
1788199634.2645473,mouse_move,,233,372,
1788199634.2725534,mouse_move,,247,373,
1788199634.2806792,mouse_move,,269,379,
1788199634.288566,mouse_move,,288,386,
1788199634.2965407,mouse_move,,307,388,
1788199634.3044858,mouse_move,,321,392,
1788199634.3125775,mouse_move,,341,398,
1788199634.3204956,mouse_move,,352,400,
1788199634.328528,mouse_move,,361,402,
1788199634.336499,mouse_move,,362,402,
1788199634.3525715,mouse_move,,363,402,
1788199634.3604858,mouse_move,,364,402,
1788199634.5366023,mouse_move,,364,402,
1788199634.5528195,mouse_move,,363,402,
1788199634.5605848,mouse_move,,363,401,
1788199634.5685716,mouse_move,,363,400,
1788199634.5845418,mouse_move,,363,398,
1788199634.848638,mouse_click,down,363,398,Button.left
1788199634.9614716,mouse_click,up,363,398,Button.left
1788199635.0806286,mouse_move,,363,397,
1788199635.1127856,mouse_move,,359,397,
1788199635.120497,mouse_move,,347,397,
1788199635.1284983,mouse_move,,338,397,
1788199635.1364703,mouse_move,,330,397,
1788199635.144534,mouse_move,,316,400,
1788199635.1525292,mouse_move,,308,400,
1788199635.1605408,mouse_move,,300,400,
1788199635.168492,mouse_move,,288,402,
1788199635.1769357,mouse_move,,280,404,
1788199635.1844804,mouse_move,,269,404,
1788199635.1925216,mouse_move,,261,404,
1788199635.200534,mouse_move,,254,405,
1788199635.2085614,mouse_move,,248,405,
1788199635.2165406,mouse_move,,246,405,
1788199635.2244728,mouse_move,,240,405,
1788199635.232514,mouse_move,,229,411,
1788199635.240516,mouse_move,,225,411,
1788199635.2485254,mouse_move,,219,412,
1788199635.2565768,mouse_move,,213,412,
1788199635.2645655,mouse_move,,205,412,
1788199635.27247,mouse_move,,194,412,
1788199635.2804475,mouse_move,,183,412,
1788199635.288529,mouse_move,,179,412,
